DENOMINAZIONESITOLOGISTICO,INDIRIZZO,PARTITAIVA,CAP,DESCRIZIONECOMUNE,SIGLAPROVINCIA,DESCRIZIONEPROVINCIA,LATITUDINE,LONGITUDINE
Il Farmacista del dott. Salvatore Rosselli,via Regina Margherita 26,2289120814,91027,PACECO,TP,TRAPANI,"37,98045158","12,55926757"
FARMA IMPRESA S.R.L.,LARGO VILLAURA N.6,5678680827,90100,PALERMO,PA,PALERMO,"38,13628212","13,36195682"
DFD ZOOTECNIA e VETERINARIA,VIA SACRAMENTO 93,2438720845,92020,SAN GIOVANNI GEMINI,AG,AGRIGENTO,"37,61734017","13,64934337"
PARAFAMACIA,Via Montalbo 148/150,5657040829,90142,PALERMO,PA,PALERMO,"38,13809935","13,36316155"
PARAFARMACIA dott.ssa Recca G.,via vincenzo giuffrida 174c,1288440876,95128,CATANIA,CT,CATANIA,"37,51842722","15,09161359"
parafarmacia Cellura,Via Palma 171,2535920843,92027,LICATA,AG,AGRIGENTO,"37,15445221","13,91888255"
Bancofarmacia Dott.ssa Lazzaro Ida,"pzz. Cadorna, 10",4595290877,95034,BRONTE,CT,CATANIA,"37,790658","14,83094"
Parafarmacia Dott.E.Zaccone,Via Pascoli 6,1631070891,96017,NOTO,SR,SIRACUSA,"36,91237347","15,01984623"
CARUSO MARIA SANTINA,VIA GIACOMO MATTEOTTI N. 320,3611100870,95045,MISTERBIANCO,CT,CATANIA,"37,47575611","14,97389962"
Faro della Salute di Fazio Salvatore & C. s.a.s.,Via Messina 1H,2992540837,98158,MESSINA,ME,MESSINA,"38,1940297","15,554114"
T&B S.R.L.,Via De Caro 82,1120230865,95126,CATANIA,CT,CATANIA,"37,52850899","15,10808285"
PARAFARMACIA DOTT.SSA F.GIORDANO,"Via Principe Umberto, 125",5358120870,95039,TRECASTAGNI,CT,CATANIA,"37,61511357","15,07937214"
PARAFARMACIA,"Viale Mario Rapisardi, 418",4256060874,95123,CATANIA,CT,CATANIA,"37,56234256","15,07200301"
MV S.r.l.,Jannuzzo,2915470831,98035,GIARDINI-NAXOS,ME,MESSINA,"37,8241584","15,26243823"
Raspante Dorotea,"C.so La Masa, 80",3336270826,90019,TRABIA,PA,PALERMO,"37,99433236","13,6569001"
PARAFARMACIA CONAD,Via GELSO BIANCO,1967130541,95121,CATANIA,CT,CATANIA,"37,44220831","15,03582932"
Parafarmacia,"Via G. La Farina,100",2983650835,98123,MESSINA,ME,MESSINA,"38,1940297","15,554114"
parafarmacia,Via umberto I,3719150835,98063,GIOIOSA MAREA,ME,MESSINA,"38,17125454","14,89333011"
parafarmacia dott.ssa ciano carmela,via garibaldi 72,3011940834,98122,MESSINA,ME,MESSINA,"38,1940297","15,554114"
Bonvissuto Nunziata,"via Campobello,6",1731040844,92027,LICATA,AG,AGRIGENTO,"37,15445221","13,91888255"
LA PARAFARMACIA  SNC DI GAMBINA MARIANNA & C.,"VIA ALESSANDRO MANZONI, N.40/42",2351110818,91016,ERICE,TP,TRAPANI,"38,0119388","12,61419424"
Salupharma sas di Turturici Ignazio,corso La Masa 36,5805310827,90019,TRABIA,PA,PALERMO,"37,99433236","13,6569001"
parafarmacia del viale,viale aldo moro 206,1071740896,96018,PACHINO,SR,SIRACUSA,"36,72051272","15,09030048"
parafarmacia pedemontana,via nuova del convento 18,4620680878,95017,PIEDIMONTE ETNEO,CT,CATANIA,"37,80137412","15,13959784"
NUTRISHOP S.A.S. DI CORRADO MALANDRINO E C.,VIA CORRADO CONFALONIERI N. 8,1538730894,96017,NOTO,SR,SIRACUSA,"36,91237347","15,01984623"
billone salvatore,"piazza san francesco,24",1147570863,94014,NICOSIA,EN,ENNA,"37,75966862","14,36717728"
Parafarmacia T.M. s.n.c.,C.so Umberto 363,1147720864,94013,LEONFORTE,EN,ENNA,"37,64475594","14,36552629"
MULTIPHARMA S.R.L.,LUNGOMARE DANTE ALIGHIERI S.N.C.,2356570818,91100,TRAPANI,TP,TRAPANI,"38,0240885","12,522658"
Parafarmacia Naturfarma del dott. A. Barone,"via Pietro Luna, 157",2278500810,91022,CASTELVETRANO,TP,TRAPANI,"37,6842293","12,7887028"
Parafarmacia Piemonte,"Via S. Giuseppe, 21",4732710878,95040,CASTEL DI IUDICA,CT,CATANIA,"37,50876938","14,67994134"
Parafarmacia Dott. Paolo Giordano,Via Libertà s.n.c.,2980450833,98073,MISTRETTA,ME,MESSINA,"37,90318433","14,36815817"
Centro Commerciale Porte di Catania,S.S. del Gelso Bianco Km.84+500 Contrada Bicocca,5031770877,95100,CATANIA,CT,CATANIA,"37,5037449","15,0861293"
Parafarmacia ARTEMISIA,"Via Principe Umberto, 168",1229190887,97019,VITTORIA,RG,RAGUSA,"36,95692426","14,49619784"
PARAFARMACIA DOTT.SSA ANZALDO S.R.L. S.,"Via N. BIXIO, N° 230",1580000881,97019,VITTORIA,RG,RAGUSA,"36,9518933","14,5332768"
PARAFARMACIA DOTT.SSA MIRIAM CRISTOFARO,C.SO VITTORIO EMANUELE 86,4758100871,95042,GRAMMICHELE,CT,CATANIA,"37,2118636","14,6391086"
parafarmacia d'amore,"via aquileia, 114",5848460829,90144,PALERMO,PA,PALERMO,"38,14281678","13,33269271"
PARAFARMACIA ETNAPOLIS,#NOME?,5368500871,95032,BELPASSO,CT,CATANIA,"37,5449539","14,95139957"
parafarmacia tranchina,via malaspina n. 126,5250710828,90145,PALERMO,PA,PALERMO,"38,13022074","13,33094987"
Parafarmacia Dott.ssa Giulia Pedone,"Via Del Ginnasio,24",1156340869,98039,TAORMINA,ME,MESSINA,"37,8517126","15,2892904"
parafarmacia-erboristeria dott.ssa baratta rita,v.vittorio amedeo 9,4029810829,90018,TERMINI IMERESE,PA,PALERMO,"37,95990094","13,7408497"
parafarmacia omeopatica,via carducci 11,1437360884,97100,RAGUSA,RG,RAGUSA,"36,9475014","14,61123448"
PARAFARMACIA DOTTORESSA RESTIVO GRAZIA LUCIA,"VIA VITTORIO EMANUELE ORLANDO, 6",2146390840,92025,CASTELTERMINI,AG,AGRIGENTO,"37,52937302","13,62738864"
PARAFARMACIA RUSSO DOTT.AUGUSTO,VIA SPIRITO SANTO N.77,4675500872,95025,ACI SANT'ANTONIO,CT,CATANIA,"37,62426309","15,11751958"
Parafarmacia di Emanuele Maria Grazia,Piazza Trento e Trieste,3088060839,98079,TUSA,ME,MESSINA,"37,98466574","14,24074935"
cadifarm s.r.l.,"via generale vincenzo streva, 55",5606800828,90143,PALERMO,PA,PALERMO,"38,13811848","13,35086214"
parafarmacia kastalia di bordonaro leonardo,c/da piombo,1324350881,93100,RAGUSA,RG,RAGUSA,"36,9269273","14,7255129"
POSEIDON S.R.L.,CONTRADA CIACHEA SN,5884420828,90044,CARINI,PA,PALERMO,"38,12956244","13,16340388"
PARAFARMACIA XX SETTEMBRE,VIA XX SETTEMBRE 15,5919750827,90141,PALERMO,PA,PALERMO,"38,07988537","13,51007562"
PARAFARMACIA CUSMANO DR.SSA CARMELA SANTANGELO,"VIA SEGNI, 5",2604270849,92019,SCIACCA,AG,AGRIGENTO,"37,5089399","13,0660965"
L'Angolo della Salute,Via Archimede 309,1124590884,97100,RAGUSA,RG,RAGUSA,"36,7593625","14,64665942"
Parafarmacia ARTEMISIA,"Via Rosario Giurato, sn",1229190887,97019,VITTORIA,RG,RAGUSA,"36,9520998","14,5372653"
PARAFARMACIA CATALANO,VIA GHEZZI 27,2604630844,92019,SCIACCA,AG,AGRIGENTO,"37,5065172","13,1084935"
PARAFARMACIA Dott. Alessandro Benedetto Ferlito,Via Ammiraglio Caracciolo 21,5364610872,95123,CATANIA,CT,CATANIA,"37,50762927","15,06751318"
ParaFarmacia Vittorio Emanuele III,"Via Vitt.EmanueleIII,n°27",4451000873,96016,LENTINI,SR,SIRACUSA,"37,2901741","14,9990686"
parafarmacia natura & pharma,"via Vittorio Emanuele Orlando,34",4744390875,95128,CATANIA,CT,CATANIA,"37,57396775","15,10012194"
FARMA CENTER FARMACISTA DEL DOTT. ANDREA SALVO,"CORSO CALATAFIMI,14",1401320815,91025,MARSALA,TP,TRAPANI,"37,79326616","12,44503935"
Parafarmacia Savoia,Corso Savoia 239/c,4832320875,95024,ACIREALE,CT,CATANIA,"37,62127527","15,16259875"
Parafarmacia del Mare,"Via Spiaggia , 115",2058570876,95016,MASCALI,CT,CATANIA,"37,76653982","15,16686771"
parafarmacia armenia vanda,viale papa giovanni xxiii 27/a,1441430889,97016,POZZALLO,RG,RAGUSA,"36,73336119","14,85009428"
Parafarmacia Bruni,viale San Martino 172,1722550835,98100,MESSINA,ME,MESSINA,"38,1781244","15,5488386"
"""IL NIDO"" DI NIPITELLA ELIANA",VIA SOLFERINO 10,1294360894,96016,LENTINI,SR,SIRACUSA,"37,28847214","14,9995013"
parafarmacia sicilia s.r.l.,via carbone 27,5721120821,90151,PALERMO,PA,PALERMO,"38,13022074","13,33094987"
Parafarmacia,"Via Pietro Maria Rocca,1",2261580811,91011,ALCAMO,TP,TRAPANI,"37,96384984","12,97409835"
parafarmacia & spa,c/o sicilia fashion village,1052390869,94011,AGIRA,EN,ENNA,"37,6021502","14,54684898"
Parafarmacia Kalos,Via Pitrè 193/F,5729720820,90136,PALERMO,PA,PALERMO,"38,13022074","13,33094987"
Sudfarmaco,v. N. Bixio 54,2462260841,91025,MARSALA,TP,TRAPANI,"37,792038","12,45036"
parafarmacia Orto Botanico del dott. Franco Faro,via A. Longo 20,2832530873,95125,CATANIA,CT,CATANIA,"37,44220831","15,03582932"
BRUNETTO S.R.L.,V.LE TURATI 104,1693920892,96014,FLORIDIA,SR,SIRACUSA,"37,08098456","15,11535358"
PARAFARMACIA IGEA,VIA PAPA GIOVANNI XXIII n°167,5982110826,90011,BAGHERIA,PA,PALERMO,"38,07868195","13,51779403"
multifarma professional srl,via sciarelle 67-67/A,4873320875,95024,ACIREALE,CT,CATANIA,"37,63441983","15,16067303"
parafarmacia spina di spina m. g. & c. sas,piazza marinella 30,2418890816,91010,SAN VITO LO CAPO,TP,TRAPANI,"38,12391712","12,75897376"
PARAFARMACIA SEBASTIANO CATANIA,Via SEBASTIANO CATANIA N312,5368500871,95123,CATANIA,CT,CATANIA,"37,51864259","15,05994491"
Parafarmacia Erboristeria Salute e...,Via Francesco Crispi 253,3172060968,98028,SANTA TERESA DI RIVA,ME,MESSINA,"37,95709051","15,34563788"
sanamedical dott.ssa teresa pisani,via Dogali 73,1338700881,97016,POZZALLO,RG,RAGUSA,"36,7388349","14,85821744"
punto farma,---- corso umberto 628,4231100829,90010,FICARAZZI,PA,PALERMO,"38,09050485","13,46450945"
Farmapoint di Gaetano Gargano,"Via Tibullo, 32-34",5649730826,90011,BAGHERIA,PA,PALERMO,"38,07619955","13,49707364"
parafarmacia dott.ssa giardina,"via vittorio emanuele,1",2259070841,92023,CAMPOBELLO DI LICATA,AG,AGRIGENTO,"37,23679736","13,91855522"
FARMA IMPRESA S.A.S.,VIA DEI CANTIERI 39/C,5678680827,90100,PALERMO,PA,PALERMO,"38,13705677","13,36316402"
NATURGLAIA,Via ROMA 63,4434330876,95025,ACI SANT'ANTONIO,CT,CATANIA,"37,61527015","15,0809919"
PARAFARMACIA KAMARINA,Via LIVORNO SNC - SCOGLITTI,1477130882,97019,VITTORIA,RG,RAGUSA,"36,95692426","14,49619784"
Parafarmacia BenessereBellessere dr Paolo Minacori,Via Atenea 91,2640150849,92100,AGRIGENTO,AG,AGRIGENTO,"37,31095839","13,58128479"
PARAFARMACIA BIOPHARMA,"CORSO UMBERTO I,48",4583110871,95024,ACIREALE,CT,CATANIA,"37,61651682","15,16677196"
PARAFARMACIA DON BOSCO SRL,VIA DON BOSCO 116-118,1864040850,93017,SAN CATALDO,CL,CALTANISSETTA,"37,49947519","13,92700114"
OFFICINA ORTOPEDICA BELLOMO,VIA PORTA AGRIGENTO,2540140841,92015,RAFFADALI,AG,AGRIGENTO,"37,40228413","13,52938386"
d'agostino maurizio,via umberto 135,4909370878,95129,CATANIA,CT,CATANIA,"37,86955497","15,03712923"
FARMAHOMEOS di Allegra Maria Concetta,Via Domenico Scinà n. 90/2,2292300817,91022,CASTELVETRANO,TP,TRAPANI,"37,6778705","12,7915383"
PARAFARMACIA CITTA' DEI TEMPLI DOTT. ALONGE,"VIA FOSSE ARDEATINE, VILLA SETA",2510070846,92100,AGRIGENTO,AG,AGRIGENTO,"37,3110897","13,5765475"
Parafarmacia Buona Salute,via Garibaldi,4732710878,95040,RADDUSA,CT,CATANIA,"37,49371948","14,53394414"
Parafarmacia GIPA FARM srl,via Francesco Crispi 371,1873900854,93012,GELA,CL,CALTANISSETTA,"37,075088","14,237017"
Parafarmacia DA.MA,via Strada per Acate 3/B,1490250881,97019,VITTORIA,RG,RAGUSA,"36,95692426","14,49619784"
farmarisparmio,via V. Emanuele,4732710878,95047,PATERNO',CT,CATANIA,"37,53277515","14,85595885"
farmarisparmio,via garibaldi,4732710878,95048,SCORDIA,CT,CATANIA,"37,2975689","14,8393735"
farmarisparmio,via palermo,4732710878,95046,PALAGONIA,CT,CATANIA,"37,3316569","14,7435916"
farmarisparmio,via garibaldi,4732710878,96016,LENTINI,SR,SIRACUSA,"37,3317692","14,9169155"
farmarisparmio,corso delle province,4732710878,95100,CATANIA,CT,CATANIA,"37,51576832","15,09785625"
Parafarmacia Dr. Bertuccio Giuseppe,Corso S. Vito 57/int 67,4548540873,95030,MASCALUCIA,CT,CATANIA,"37,58707398","15,03981319"
PARAFARMACIA DOTT.SSA CUCUZZA MARIA FLOREANA,"VIA VITTORIO EMANUELE, 162",4217690876,95030,GRAVINA DI CATANIA,CT,CATANIA,"37,55482101","15,062748"
PARAFARMACIA DOTT.SSA CUCUZZA MARIA FLOREANA,"VIA ETNA, 182",4217690876,95030,TREMESTIERI ETNEO,CT,CATANIA,"37,57444225","15,07341013"
PARAFARMACIA DOTT.SSA CUCUZZA MARIA FLOREANA,PIAZZA LUCIA MANGANO,4217690876,95037,SAN GIOVANNI LA PUNTA,CT,CATANIA,"37,57741815","15,09451972"
PARAFARMACIA DOTT.SSA CUCUZZA MARIA FLOREANA,CORSO SAN VITO,4217690876,95030,MASCALUCIA,CT,CATANIA,"37,57470269","15,05724706"
PARAFARMACIA DOTT. ALONGE RICCARDO,"VIA IMERA ,139",2510070846,92100,AGRIGENTO,AG,AGRIGENTO,"37,31836711","13,58051763"
SALUTE E BENESSERE S.R.L.,"Via Salvatore La Rosa, 172/a",2633870841,92021,ARAGONA,AG,AGRIGENTO,"37,42045538","13,61218134"
Benessere snc,corso Vittorio Emanuele 188,1874880857,93017,SAN CATALDO,CL,CALTANISSETTA,"37,49947519","13,92700114"
Parafarmacia della Dottoressa Ruscica Rosy,via Fallica 52,4883750871,95033,BIANCAVILLA,CT,CATANIA,"37,63844274","14,87086733"
Parafarmacia,c/so Matteotti 140,3177450834,98066,PATTI,ME,MESSINA,"38,146477","14,969479"
LA PARAFARMACIA DOTT.SSA NADIA PITTALA',Via VITTORIO EMANUELE 235,3492490838,95038,SANTA MARIA DI LICODIA,CT,CATANIA,"37,61378635","14,89472103"
parafarmacia fontana,via archi 39,2283000814,91100,TRAPANI,TP,TRAPANI,"38,02515835","12,5335475"
C.O.S. di Grasso Salvatore,"via Maccarrone, 11/c",2694890878,95014,GIARRE,CT,CATANIA,"37,72524465","15,19452665"
ARKIPHARM SRL,"VIA TRIPOLITANIA, 30",4503270870,95100,CATANIA,CT,CATANIA,"37,51903044","15,09356892"
Parafarmacia,Corso della Libertà 112,2930000837,98043,ROMETTA,ME,MESSINA,"38,23213858","15,40845528"
Parafarmacia della dott.ssa Castrogiovanni,via Gramsci 21,1738300894,96013,CARLENTINI,SR,SIRACUSA,"37,29649421","15,00776794"
FLACCOMIO GIOVANNI,"VIA KENNEDY N. 3, 5, 7",425960838,98051,BARCELLONA POZZO DI GOTTO,ME,MESSINA,"38,13272456","15,2274408"
La Parafarmacia,Via Giorgio La Pira n. 21/23,1487880880,97100,RAGUSA,RG,RAGUSA,"36,8246606","14,5263254"
Parafarmacia Biocenter srl,ctr. Filippello zona industriale artigianale,3168700833,98069,SINAGRA,ME,MESSINA,"38,08264519","14,84954623"
tribuna pharma di tribuna vincenza,via sant'elia 97/f,4602860829,90017,SANTA FLAVIA,PA,PALERMO,"38,09160594","13,53836863"
SANFILIPPO FARMACEUTICI SRL,VIA ALDO MORO ANG. VIA GIUGA,1660470897,96019,ROSOLINI,SR,SIRACUSA,"36,82424","14,947792"
Parafarmacia della Dott.ssa Valvo Erika,Via San Giovanni 23,1737120897,96010,MELILLI,SR,SIRACUSA,"37,21094156","15,09948545"
Farmavita di Chianello Mary,"Corso Calatafimi, 979b",6066650828,90129,PALERMO,PA,PALERMO,"38,10305774","13,33033886"
FARMA BRUSCE' DI TINNIRELLO VALENTINA JENNIFER,"Via Ettore Fieramosca, 230",1603020882,97100,RAGUSA,RG,RAGUSA,"36,90707175","14,66410005"
Farma etnea S.r.l.,Via L. Capuana 22,4946400878,95030,TREMESTIERI ETNEO,CT,CATANIA,"37,57444225","15,07341013"
farmacontea srl,P.zza Scalo Trapanese,1357210887,97010,RAGUSA,RG,RAGUSA,"36,78309103","14,54819661"
Farmakosan,Via Madonna della Via 165,4518360872,95041,CALTAGIRONE,CT,CATANIA,"37,22007901","14,52725965"
Parafarmacia dell'Ospedale,Via S. maria di Gesù 20,4518360872,95041,CALTAGIRONE,CT,CATANIA,"37,19096831","14,51189636"
parafarmacia dott.ssa manuela trombetta,Via re martino 172,5850080879,95021,ACI CASTELLO,CT,CATANIA,"37,5547418","15,1462909"
Parafarmacia EUROPA,Viale Europa 4/A,4518360872,95041,CALTAGIRONE,CT,CATANIA,"37,21871015","14,52551475"
Farmakosan,Via Fontanelle 5-7,4518360872,95041,CALTAGIRONE,CT,CATANIA,"37,19096831","14,51189636"
Integra srl,"via Papa Giovanni XXIII, 17-19-21",5249610824,90011,BAGHERIA,PA,PALERMO,"38,07868195","13,51779403"
Parafarmacia Terranova,via Empedocle Restivo 77,6064850826,90144,PALERMO,PA,PALERMO,"38,14682415","13,33436654"
Parafarmacia PARA&FARMACO,Via ludovico Ariosto 30,4962890879,95024,ACIREALE,CT,CATANIA,"37,61714779","15,15389822"
NICOLOSI SALVATRICE,VIA MAZZINI 52,4716080876,95038,SANTA MARIA DI LICODIA,CT,CATANIA,"37,62478541","14,89727729"
Parafarmacia Porta Catania,Via Crocifisso,1881630857,98039,TAORMINA,ME,MESSINA,"37,85108765","15,28123385"
Parafarmacia Bandiera,via bandiera 39,6085660824,90100,PALERMO,PA,PALERMO,"38,11846706","13,36119204"
GUARDI' GIUSEPPA,VIA CEFALU' N.116/118,6100270823,90013,CASTELBUONO,PA,PALERMO,"37,93218799","14,09570716"
Cabrefarm srl,"via Salvatore Denaro , 1",1481920880,97016,POZZALLO,RG,RAGUSA,"36,732172","14,85668"
TEKNO PHILIAS SNC DI TERRANA CLAUDIO E C.,"Via Gancini,76",2436970848,92014,PORTO EMPEDOCLE,AG,AGRIGENTO,"37,31044113","13,50704362"
Parafarmacia per essere in benessere,Via Vittorio emanuele 42,4953740877,95038,SANTA MARIA DI LICODIA,CT,CATANIA,"37,61378635","14,89472103"
DOTT.SSA PIAZZA SANTA,VIA ROMANO N° 42,1182830867,94012,BARRAFRANCA,EN,ENNA,"37,379144","14,201071"
FARMA ROSA di Giuseppe Bertuccio,"Via Nuovalucello 154/c, 154/c",5605620870,95126,CATANIA,CT,CATANIA,"37,44220831","15,03582932"
parafarmacia dott.ssa Treccarichi Elisa,via Madonna delle Grazie 1,4648750877,95024,ACIREALE,CT,CATANIA,"37,59606257","15,17072946"
LEFARMISSIME SRL,Via I settembre 44,3197780830,98124,MESSINA,ME,MESSINA,"38,18795622","15,55832255"
Vivisalute Carini,---- ss 113 km. 182,5636350877,90044,CARINI,PA,PALERMO,"38,12956244","13,16340388"
PARAFARMACIA RIZZO,VIA CAMPIDOGLIO N.40,3206350831,98076,SANT'AGATA DI MILITELLO,ME,MESSINA,"38,03744438","14,64010999"
Parafarmacia dottor Giuseppe Occhipinti Amato,Fanfulla da Lodi 8,1502620881,97100,RAGUSA,RG,RAGUSA,"36,90707175","14,66410005"
Farmachl San Cataldo,"Via Vittorio Veneto, 20",1884490853,93017,SAN CATALDO,CL,CALTANISSETTA,"37,49947519","13,92700114"
Nicoloso Domenica,via G. Garibaldi n.121,4510540877,95030,NICOLOSI,CT,CATANIA,"37,613612","15,023007"
noitutti s.r.l.,Caruso/via Acicastello ang.Via Teseo presso Ipersimply,4996710879,95126,CATANIA,CT,CATANIA,"37,44220831","15,03582932"
"Orchidea Farma ""Farmavitae""","Via Senatore di Giovanni, 20",2106320894,96100,SIRACUSA,SR,SIRACUSA,"37,0714069","15,2829873"
Parafarmacia DRAGOPHARM di DRAGO CORRADO,Corso Vittorio Emanuele 118,1761010899,90049,TERRASINI,PA,PALERMO,"38,1473393","13,08594229"
farmatua srl,via giuseppe garibaldi 19,4996800878,95045,MISTERBIANCO,CT,CATANIA,"37,47575611","14,97389962"
GAMAC S.R.L.,VIALE MICHELANGELO N. 2200,4048740825,90145,PALERMO,PA,PALERMO,"38,13022074","13,33094987"
PARAFARMACIA DOTT.SSA SIMONA VALENZA,VIA AMICO VALENTI 36,1892080852,93100,CALTANISSETTA,CL,CALTANISSETTA,"37,4441251","13,95751097"
STEFELI S.R.L.,"VIA MATTEOTTI, 2/D",5008520875,95048,SCORDIA,CT,CATANIA,"37,2900979","14,8413689"
BIONATURAL PHARMA,Piazza Stazione s.n.c.,2686000841,92027,LICATA,AG,AGRIGENTO,"37,15445221","13,91888255"
La nuova parafarmacia di garofalo bruno & C. s.a.s,"via Garufi,20",3195130830,98037,LETOJANNI,ME,MESSINA,"37,89089688","15,30794138"
Parafarmacia Torremuzza del Dott. Maurizio Mello,"Via Torremuzza , 17",6144190821,90133,PALERMO,PA,PALERMO,"38,1165996","13,37259367"
FARMASELF DI MADONIA FRANCESCO,"VIA PIPITONE FEDERICO, 20",6144750822,90144,PALERMO,PA,PALERMO,"38,13022074","13,33094987"
parafarmacia del centro,via roma 183,1515560884,97100,RAGUSA,RG,RAGUSA,"36,94482094","14,61024719"
CONAD SUPERSTORE,VIA FOSSE ARDEATINE SNC,2657430845,92100,AGRIGENTO,AG,AGRIGENTO,"37,32219769","13,56610079"
PUNTO-PHARMA-UGDULENA SRL,VIA GREGORIO UGDULENA 5/A,6133120821,90143,PALERMO,PA,PALERMO,"38,140365","13,34682099"
PARAFARMACIA DOTT. GIUSEPPE RUSSO,"Via Nuova del Convento, 18",4998420873,95017,PIEDIMONTE ETNEO,CT,CATANIA,"37,80137412","15,13959784"
etnafarma srl,corso vittorio emanuele II 111,5010430873,95017,PIEDIMONTE ETNEO,CT,CATANIA,"37,8091538","15,1764398"
parafarmacia isola del farmaco,via cristoforo colmbo 126,6136350821,90040,ISOLA DELLE FEMMINE,PA,PALERMO,"38,1966364","13,2481759"
Saretta Alberti,"via Giuseppe Fava, 16",4386960878,95123,CATANIA,CT,CATANIA,"37,16190435","14,7648681"
PARAFARMACIA-M.A.S. del Dr. Runfola G. e Figli snc,C.so Umberto 562,1189050865,94013,LEONFORTE,EN,ENNA,"37,6417645","14,3982843"
PARAFARMACIA SERV. E SALUTE DEL DOTT.LISTRO ORAZ,VIA DELL'ORSA MINORE 272/274,5257220821,90124,PALERMO,PA,PALERMO,"38,09445597","13,36834451"
L'ARCIPELAGO S.R.L.,Via LO VERDE 9-31,6030030826,90145,PALERMO,PA,PALERMO,"38,1862873","13,3097523"
Parafarmacia Abbate,Via nazionale n.30,6138020828,90044,CARINI,PA,PALERMO,"38,1668279","13,1081077"
Parafarmacia Dott. Carmelo Triolo,v. Cataldo Amodei 4,2763800840,92019,SCIACCA,AG,AGRIGENTO,"37,5085148","13,0816305"
parafarmacia del viale,Via Mascagni 28,1700770892,96018,PACHINO,SR,SIRACUSA,"36,721498","15,1016002"
CENTRO COMMERCIALE IL PORTO,CORSO ARGENTINA SNC,2657430845,92027,LICATA,AG,AGRIGENTO,"37,1017094","13,9373306"
CONAD SUPERSTORE,viale dei platani n. 87,2657430845,90047,PARTINICO,PA,PALERMO,"38,0569719","13,1126483"
CONAD SUPERSTORE,via giovanni bessarione n. 196,2657430845,91026,MAZARA DEL VALLO,TP,TRAPANI,"37,6624662","12,570615"
Parafarmacia Dott.ssa Nociforo Veronica,Via G.Simili 3/a,4952660878,95030,GRAVINA DI CATANIA,CT,CATANIA,"37,514935","15,0963463"
CURRERIFARMAPIU' DI CURRERI GIOVANNA & C. S.N.C.,VIA PIERSANTI MATTARELLA 13,6161870826,90018,TERMINI IMERESE,PA,PALERMO,"37,9926991","13,6589799"
Parafarmacia d.ssa C. Consoli,"v.le Zecchino, 121",1523320891,96100,SIRACUSA,SR,SIRACUSA,"37,08489627","15,28310629"
Parafarmacia Akos,Via Emanuele Bellia n° 193/195,5231860874,95047,PATERNO',CT,CATANIA,"37,5723461","14,9048373"
Parafarmacia Via Vigo della Dott. Camilla Bottino,Via Salvatore Vigo 94/98,5044250875,95024,ACIREALE,CT,CATANIA,"37,60676477","15,1619158"
Parafarmacia Paternò,"Viale Signore Ritrovato,41",1190930865,94012,BARRAFRANCA,EN,ENNA,"37,376372","14,206672"
PARAFARMACIA DOTT.SSA CHIARA GULLO,Via Giuseppe Verdi 6,5056140873,95039,TRECASTAGNI,CT,CATANIA,"37,6167773","15,0737097"
RAINERI ROSA,"VIA JOHN KENNEDY, 8",6170530825,90030,BOLOGNETTA,PA,PALERMO,"37,9537252","13,4136438"
parafarmacia Dott.ssa Carbonaro Angelica,via Duca D'Aosta n.27,1492800881,97014,ISPICA,RG,RAGUSA,"36,7845472","14,9083707"
Parafarmacia,Corso Vittorio Emanuele 129,1777290899,96017,NOTO,SR,SIRACUSA,"36,8912199","15,069793"
parafarmacia dottoressa giada bua,"via Etnea, 36",5042990878,95030,NICOLOSI,CT,CATANIA,"37,616786","15,0245926"
parafarmacia farma store,via abruzzo 45,3930150820,90013,CASTELBUONO,PA,PALERMO,"37,927774","14,0896241"
bazan renato & figli s.n.c.,viale cannatello 105,2678110848,92100,AGRIGENTO,AG,AGRIGENTO,"37,2617119","13,6237627"
MEDIFARM DI BETTOLINO DANIELE,VIA CAUCANA 48/A,1528170887,97017,SANTA CROCE CAMERINA,RG,RAGUSA,"36,8258425","14,5236535"
Parafarmacia Dr. Livio CHiesa,"via Piave, 35",6188760828,98071,CAPO D'ORLANDO,ME,MESSINA,"38,161526","14,746459"
FARMA LINEA STORE S.R.L.,VIA ERNESTO BASILE 18/20,6188840828,90128,PALERMO,PA,PALERMO,"38,0992911","13,3468269"
PARAFARMACIA DOTT.SSA ARICO',"VIA COMUNALE CAMARO, 76",3243000837,98147,MESSINA,ME,MESSINA,"38,1907018","15,5158479"
farmavet del dott.Maniscalco ANTONINO,VIA FRANK CAPRA,6171720821,90032,BISACQUINO,PA,PALERMO,"37,700573","13,2583412"
parafarmacia M & C pharma s.r.l.,via dei Nebrodi 65 A/B,6199730828,90146,PALERMO,PA,PALERMO,"38,148092","13,3304227"
PARAFARMACIA KALISPERA,"Via GARCIA LORCA, 1",6003800825,90100,PALERMO,PA,PALERMO,"38,1658618","13,3210927"
FARMAFIDA SRL,VIA MARINA 7/A,5033610873,95013,FIUMEFREDDO DI SICILIA,CT,CATANIA,"37,7922563","15,2113603"
Parafarmacia Farma.Gia,"via Nicolò Garzilli,34/b",190080820,90141,PALERMO,PA,PALERMO,"38,1275787","13,3513341"
esercizio farmaceutico pharmanaturae,"via vittorio emanuele,64",1703350833,95022,ACI CATENA,CT,CATANIA,"37,6039739","15,1423013"
