CAP,Indirizzo,Denominazione struttura,Descrizione tipo assistenza erogata,Tipo struttura,Denominazione struttura di ricovero,Mesi di funzionamento,Giorni settimanali di apertura,Ore settimanali di apertura,Partita IVA,E-mail,Sito web,Prefisso,Telefono,Prefisso fax,Numero fax
92024,VIA MEDI,AMBULATORIO PSICOGERIATRICO - CANICATTI',ASSISTENZA PSICHIATRICA,ALTRO TIPO DI STRUTTURA TERRITORIALE,,12,3,18,2570930848,dsm.patologiedegenerative@aspag.it,www.aspag.it,922,733596,922,85514
92100,VIA EMPEDOCLE; N. 85,CENTRO ITALIANO FEMMINILE CONSULTORIO FAMILIARE,ATTIVITA' DI CONSULTORIO MATERNO-INFANTILE,ALTRO TIPO DI STRUTTURA TERRITORIALE,,12,5,31,80009190846,cifconsultorio@libero.it,,922,21984,922,21984
92028,PIAZZA ROMA N. 2,RSA - CASA SAN CALOGERO - OPERA DON GUANELLA,ASSISTENZA AGLI ANZIANI,STRUTTURA RESIDENZIALE,,12,0,0,1084241007,naro.sancalo@guanelliani.it,,922,956028,922,953220
92025,VIA ALDO MORO ; SNC,R.S.A. Societa' Cooperativa Onlus 'GIOMATRIX' a.r.l.,ASSISTENZA AGLI ANZIANI,STRUTTURA RESIDENZIALE,,12,0,0,2216790846,gioacchinonicastro@libero.it,,922,912026,922,611114
92019,VIA DEL GIGLIO N. 190,C.T.A. CASA DI CURA SANTA MARIA DEL GIGLIO,ASSISTENZA PSICHIATRICA,STRUTTURA RESIDENZIALE,,12,7,168,2350330847,ctasciacca@lgmail.com,,925,84841,925,904982
92024,VIA GIOBERTI 21/P,MEDI.GEST S.R.L.' C.T.A. VILLA OLGA',ASSISTENZA PSICHIATRICA,STRUTTURA RESIDENZIALE,,12,7,168,4989310968,medigestca@gmail.com,www.medigest.eu,922,662403,922,662624
92027,VIA UMBERTO II s.n.c.,PARNASO SOCIETA' COOPERATIVA SOCIALE ONLUS,ASSISTENZA AI DISABILI FISICI,STRUTTURA RESIDENZIALE,,12,0,0,1807150840,parnasocoop@alice.it,,922,772101,922,18350564
92100,CONTRADA CONSOLIDA,S.U.A.P.,ASSISTENZA AI DISABILI FISICI,STRUTTURA RESIDENZIALE,P.O. S. GIOVANNI DI DIO,12,0,0,2570930848,poagrigento.direttore@aspag.it,www.aspag.it,922,442111,922,591246
93100,VIA FILIPPO PALADINI,AMB.NISSENO EMODIALISI SRL,ATTIVITA' CLINICA,ALTRO TIPO DI STRUTTURA TERRITORIALE,,12,6,90,168250850,rizzarigiuseppe@virgilio.it,,934,26872,934,565998
93100,VIALE STEFANO CANDURA 18,CENTRO DIAG. DR.P.BENZA SRL,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,AMBULATORIO E LABORATORIO,,12,5,25,1515340857,CentroDiagnBenza@Tiscali.It,,934,26362,934,585305
93100,Viale Trieste n°131h,CENTRO MEDICINA DI LABORATORIO TRINACRIA SOCIETà CONSORTILE.A.R.L.,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,5,28,1939150858,trinacria2014@virgilio.it,,934,563118,934,563118
93100,Via Traversa Elena n°63,MAM ANALISI CLINICHE Dr. Messana Massimo D.M & c.Sas,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,5,28,1929200853,mam.analisi@virgilio.it,,934,576051,,
93100,Via Edmondo De Amicis n°41,Studio Oculistico Dott. Silvio Perricone S.R.L.,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,2,5,20,1989580855,perriconesrl@legamail.it ( Pec),,934,595661,934,595661
93100,Contrada Bagno snc,Centro Genetica Medica M.Averna dell'Ass.ne Casa Famiglia Rosetta Onlus,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,6,38,1377430853,geneticafamiliare@casarosetta.it,wwwcasarosetta.it,934,508011,934,508018
93100,Via Filippo Paladini 81/A,Medicalmed srl,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,2,16,1617510852,mary@medicalmed.it,www.medicalmed.it,934,552913,934,581300
93100,Via Napoleone Colajanni n°88,Studio Odontoiatrico D.ssa L. Saccomando,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,3,21,1615640859,luciasaccomando@hotmail.it,,934,21291,934,21291
93100,Viale Sicilia n°53,Amb. Odontoiatrico Dott.ssa Valentina Graffagnino,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,5,18,1240740850,valegraffagnino@gmail.com,,934,552320,934,552320
93100,Viale Trieste 131/P,Amb. Odontoiatrico. dott. Calogero Palermo,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,3,24,1262440850,dott.cpalermo@virgilio.it,,934,595298,934,595298
93010,VIA ALPI 74 A,LABORATORIO ANALISI CLINICHE Dr.MICHELE PIOMBINO s.a.s.,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,5,35,1678880855,lab.piombin@virgilio.it,,922,820536,922,820536
93012,Via Morselli 73 Pal.C,Studio Oculistico Trainito del Dott.Gaetano Trainito SAS,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,5,40,1758780850,okulista.trainito@gmail.it,,933,821478,933,821478
93012,VIA MINERBIO 3,SO.GE.SA.SPA.C DI C.S.BARBARA,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,AMBULATORIO E LABORATORIO,SO.GE.SA.SPA.C.DI.C.S.BARBARA,12,6,36,514190826,info@santabarbarahospital,www.santabarbarahospital.it,933,817111,933,817211
93012,VIA MINERBIO 3,SO.GE.SA.SPA.C DI C.S.BARBARA,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,SO.GE.SA.SPA.C.DI.C.S.BARBARA,12,6,36,514190826,info@santabarbarahospital,www.santabarbarahospital.it,933,817111,933,817211
93012,VIA EUROPA 113,VILLA ROSALBA SRL,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,AMBULATORIO E LABORATORIO,,12,5,40,1583200850,villarosalba@tiscali.it,,933,913253,933,932844
93012,C.SO S. ALDISIO 295,DR.CARTIA GIACOMO,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,AMBULATORIO E LABORATORIO,,12,5,40,1582150858,studioradiologico@gmail.com,,933,823219,933,823219
93015,VIA BRANCIFORTI N.6,CHIANTIA VINCENZO,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,6,36,1259580858,enzochiantia@mail.com,,328,6217030,,
93012,VIA VENTURA N.8,DR.LONGO GENNARO,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,5,20,1167870854,rosario.longo@gmail.com,,345,2290388,,
93012,Via Tamigi n°24,Amb. Odontoiatrico A. Postema,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,5,35,1651410852,apostema2003@tiscali.it,,933,835358,933,835358
93015,Via Umberto n°71,Studio Radiologico Dott. Antonino Camagna srl,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,AMBULATORIO E LABORATORIO,,12,5,32,1649980859,ancamagna@tiscali.it,,933,95942,933,954942
93012,Via G. Matteotti n°66,tudio Radiologico Madonna delle Grazie di Campanella A.&TerranaL.snc,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,AMBULATORIO E LABORATORIO,,12,5,32,1735320853,studioradiologico@virgilio.it,,933,914169,933,914169
93012,Corso Vittorio Emanuele 291,Studio Oculistico Dott. G.Riccardo Giordano,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,2,7,1271120857,studiogiordanogela@gmail.com,,93,907642,,
93012,Corso Vittorio Emanuele 291,Studio Oculistico Dott. G.Riccardo Giordano,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,AMBULATORIO E LABORATORIO,,12,2,7,1271120857,studiogiordanogela@gmail.com,,93,907642,,
93012,VIA MANZONI 78,DR.SCICOLONE CARMELO SRL,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,3,6,1718400854,studioscicolone@alice.it,www.studiocarmeloscicolone.it,933,935199,933,935199
93012,VIA CAIROLI 1,BIOMEDICA S.R.L CANNIZZO MICH.,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,5,35,1536400854,biomedicagela@alice.it,,933,917142,,
93012,Piazza Calvario n°16,Società Consortile Ricerca A.R.L.,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,6,45,1932090853,laboratorioricerca@gmail.com,,933,911542,933,911542
93012,Corso Salvatore Aldisio n°264/268,Diagnostica Dr.Tilocca srl Lab. Anal. Clin. Riuniti,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,6,40,1889510853,infoanalisitilocca@virgilio.it,,933,937699,933,824949
93012,Via Cairoli 242,CENTRO BIONALITICO s.r.l.,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,5,12,1843710854,m.pino.2@virgilio.it,,933,933113,933,832760
93012,VIA DONIZZETTI N.14,AMB. di CARDIOLOGIA DR. TROVATO NUNZIO e C.SAS,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,5,24,1801470855,trovato.nunzio@alice.it,,933,911281,933,911281
93012,VIA DONIZZETTI N.14,AMB. di CARDIOLOGIA DR. TROVATO NUNZIO e C.SAS,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,AMBULATORIO E LABORATORIO,,12,5,28,1801470855,trovato.nunzio@alice.it,,933,911281,933,911281
93010,VIALE DELLA VITTORIA,ANALISI CLINICHE D & P SNC,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,5,30,1579340850,laboratorioanalisid&p@alice.it,,934,936188,934,936188
93014,VIA QUASIMODO s.n.,DR.ALAIMO ALDO,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,2,21,1136930854,Aldo.Alaimo@Virgilio.it,,934,952940,,
93015,Via Samperi n°51,AMB. di CARDIOLOGIA Dr. RAGUSA VINCENZO e C. SNC,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,3,15,1906800857,ragusavincenzo@pec.it,,933,954027,933,954027
93015,Via Samperi n°51,AMB. di CARDIOLOGIA Dr. RAGUSA VINCENZO e C. SNC,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,AMBULATORIO E LABORATORIO,,12,1,5,1906800857,ragusavincenzo@pec.it,,933,954027,933,954027
93016,Via I° Maggio 96,Centro Diagnostico Cannata s.a.s.di Maria Donata Cannata,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,5,40,1967550854,mariadon1956@libero.it,,934,929342,934,929342
93016,Viale Europa snc,Centro Radiologico s.a.s di Dott Ettore Caponcello &c.,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,AMBULATORIO E LABORATORIO,,3,5,29,1998780850,ettorecaponcello@libero.it,,934,929944,,
93017,Via Babbaurra n°40,STUDIO OCULISTICO 'Dr.AMATO S.R.L.,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,6,28,1773860851,m.amato10583@g.mail.com,,934,587777,934,552599
93017,Via Belvedere 2/C,ISTITUTO RAIMONDI s.r.l,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,6,44,1966890855,info@istitutoraimondi.it,wwwistitutoraimondi.it,934,572991,934,589205
93017,VIA P.PE LANZA DI SCALEA 3/5,SKEMA INIZIATIVE SANITARIE srl,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,AMBULATORIO E LABORATORIO,CASA DI CURA 'REGINA PACIS',12,6,51,195960851,info@casadicurareginapacis.com,www.casadicurareginapacis.com,934,515201,934,588748
93017,VIA P.PE LANZA DI SCALEA 3/5,SKEMA INIZIATIVE SANITARIE srl,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,CASA DI CURA 'REGINA PACIS',12,6,51,195960851,info@casadicurareginapacis.com,www.casadicurareginapacis.com,934,515201,934,588748
93010,Via Crucillà 169,AMBULATORIO ODONTOIATRICO DOTT.SSA M.C.BONA S.R.L.,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,5,36,1883320853,lucignainsalaco@hotmail.it,,934,931121,934,931121
93100,Via Luigi Monaco 12,'SEDITA SRL',ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,5,35,1543880858,seditasrl@gmail.com,www.centromedicosedita.com,934,551204,934,551204
93012,VIA RUGGERO SETTIMO 13,STUDIO OCULISTICO Dr. ORAZIO GENOVESE E.C. S.A.S.,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,5,30,1812930855,genoveseorazio@gmail.com,,933,912724,933,912724
93012,VIA EVEREST 13,AMBULATORIO OSTETRICO-GINECOLOGICO di RUSSOTTO BRUNO & .C. S.A.S.,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,5,20,1801330851,bruno.russotto@tin.it,,933,822507,933,822507
93017,C.so Vittorio Emanuele 115,SOCIETA' CONSORTILE PASTEUR S.R.L.,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,6,40,1842940858,info@centroanalisipasteur.it,www.centro analisipasteur.it,934,573758,934,573758
93015,Via Bruno Buozzi n°4,UNILAB LABORATORI ANALISI RIUNITI NISCEMI srl,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,6,38,1854640859,unilabsrl@legalmail.it,,934,955644,934,955644
93012,Via Palazzi n°84,CENTRO POLIDIAGNOSTICO SOCIETA' CONSORTILE SRL,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,6,45,1842910851,m.pino2@virgilio.it,,933,933113,933,832760
93012,Via Palazzi 171,AMB.P.O. Vittorio Emanuele (ex AO),ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,P.O. VITTORIO EMANUELE (ex AO),12,6,72,1825570854,silpogela@asp.cl.it,,933,831111,933,831206
93012,Via Palazzi 171,AMB.P.O. Vittorio Emanuele (ex AO),DIAGNOSTICA STRUMENTALE E PER IMMAGINI,AMBULATORIO E LABORATORIO,P.O. VITTORIO EMANUELE (ex AO),12,6,72,1825570854,silpogela@asp.cl.it,,933,831111,933,831206
93012,Via Palazzi 171,AMB.P.O. Vittorio Emanuele (ex AO),ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,P.O. VITTORIO EMANUELE (ex AO),12,6,72,1825570854,silpogela@asp.cl.it,,933,831111,933,831206
93100,Via Luigi Russo n°6,Amb. P.O. Sant'Elia (ex AO),ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,P.O. Sant'Elia (ex AO),12,6,36,1825570854,dirsan.posant'elia@asp.cl.it,www.santelia.it,934,559111,934,559644
93100,Via Luigi Russo n°6,Amb. P.O. Sant'Elia (ex AO),DIAGNOSTICA STRUMENTALE E PER IMMAGINI,AMBULATORIO E LABORATORIO,P.O. Sant'Elia (ex AO),12,6,36,1825570854,dirsan.posant'elia@asp.cl.it,www.santelia.it,934,559111,934,559644
93100,Via Luigi Russo n°6,Amb. P.O. Sant'Elia (ex AO),ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,P.O. Sant'Elia (ex AO),12,6,36,1825570854,dirsan.posant'elia@asp.cl.it,www.santelia.it,934,559111,934,559644
93011,VIA GIACOMO MATTEOTTI 44,AMB.EX P.O. F.BRANCIFORTI,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,5,38,1825570854,,,934,348910,934,348900
93100,VIA MALTA,U.O.S. DI PNEUMOLOGIA Protesica e Riabilitativa,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,5,38,1825570854,pneumologia.caltanissetta@asp.cl.it,,934,506830,934,506830
93100,VIA MALTA,U.O.S. DI PNEUMOLOGIA Protesica e Riabilitativa,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,AMBULATORIO E LABORATORIO,,12,5,38,1825570854,pneumologia.caltanissetta@asp.cl.it,,934,506830,934,506830
93100,Via Luigi Monaco 110,Amb. di Medicina Fisica e Riabilitativa,ATTIVITA' CLINICA,ALTRO TIPO DI STRUTTURA TERRITORIALE,,12,5,20,1825570854,riabilitazione@asp.cl.it,,934,506317,,
93012,Via Madonna del Rosario snc,Amb. di Medicina Fisica e Riabilitativa,ATTIVITA' CLINICA,ALTRO TIPO DI STRUTTURA TERRITORIALE,,12,5,20,1825570854,,,933,901158,,
93100,Via Poggio S. Elia n°28,Centro di Fisioterapia Rocca srl,ATTIVITA' CLINICA,ALTRO TIPO DI STRUTTURA TERRITORIALE,,12,5,40,1726840851,fisioterapiarocca@libero.it,www.centromedicorocca.com,933,581362,,
93100,VIA MALTA 71,POLIAMBULATORIO,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,6,66,1825570854,poliambulatorio.cl@asp.cl.it,,934,506823,934,506823
93100,VIA MALTA 71,POLIAMBULATORIO,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,AMBULATORIO E LABORATORIO,,12,6,36,1825570854,poliambulatorio.cl@asp.cl.it,,934,506823,934,506823
93010,VIA S. PERTINI,POLIAMBULATORIO,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,5,25,1825570854,,,922,826149,922,820528
93012,VIA BUTERA 88,U.O. PNEUMOLOGIA,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,5,38,1825570854,,,933,905302,933,905302
93012,VIA BUTERA 88,U.O. PNEUMOLOGIA,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,AMBULATORIO E LABORATORIO,,12,5,38,1825570854,,,933,905302,933,905302
93013,VIA DANTE 2,AMB.P.O. S. STEFANO,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,P.O. SANTO STEFANO,12,6,36,1825570854,dirsanpomazzarino@aspcl.it,,934,300211,934,300289
93013,VIA DANTE 2,AMB.P.O. S. STEFANO,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,AMBULATORIO E LABORATORIO,P.O. SANTO STEFANO,12,6,36,1825570854,dirsanpomazzarino@aspcl.it,,934,300211,934,300289
93013,VIA DANTE 2,AMB.P.O. S. STEFANO,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,P.O. SANTO STEFANO,12,6,36,1825570854,dirsanpomazzarino@aspcl.it,,934,300211,934,300289
93013,VIA ROMA 2,POLIAMBULATORIO EX INAM,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,6,45,1825570854,,,934,385424,934,386228
93014,VIA DOGLIOTTI,AMB.P.O. M.I.LONGO,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,P.O. M. IMMACOLATA LONGO,12,5,12,1825570854,dspolongo@asp.cl.it,,934,962111,934,962219
93014,VIA DOGLIOTTI,AMB.P.O. M.I.LONGO,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,AMBULATORIO E LABORATORIO,P.O. M. IMMACOLATA LONGO,12,6,18,1825570854,dspolongo@asp.cl.it,,934,962111,934,962219
93014,VIA DOGLIOTTI,AMB.P.O. M.I.LONGO,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,P.O. M. IMMACOLATA LONGO,12,5,12,1825570854,dspolongo@asp.cl.it,,934,962111,934,962219
93014,VIA MANZONI 31,POLIAMBULATORIO,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,6,153,1825570854,distrettomussomeli@ausl2.caltanissetta.it,,934,506451,,
93015,PIAZZA MARTIRI DI NASSIRYA,AMB.P.O.SUOR CECILIA BASAROCCO,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,P.O. SUOR CECILIA BASAROCCO,12,6,80,1825570854,dirsan.poniscemi@asp.cl.it,,933,880111,933,880207
93015,PIAZZA MARTIRI DI NASSIRYA,AMB.P.O.SUOR CECILIA BASAROCCO,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,AMBULATORIO E LABORATORIO,P.O. SUOR CECILIA BASAROCCO,12,6,60,1825570854,dirsan.poniscemi@asp.cl.it,,933,880111,933,880207
93015,PIAZZA MARTIRI DI NASSIRYA,AMB.P.O.SUOR CECILIA BASAROCCO,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,P.O. SUOR CECILIA BASAROCCO,12,6,54,1825570854,dirsan.poniscemi@asp.cl.it,,933,880111,933,880207
93016,C/DA CICIONE,POLIAMBULATORIO,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,5,36,1825570854,presidio.riesi@asp.cl.it,,934,923200,934,928114
93016,C/DA CICIONE,POLIAMBULATORIO,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,AMBULATORIO E LABORATORIO,,12,1,3,1825570854,presidio.riesi@asp.cl.it,,934,923200,934,928114
93016,C/DA CICIONE,POLIAMBULATORIO,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,2,4,1825570854,presidio.riesi@asp.cl.it,,934,923200,934,928114
93017,VIA FORLANINI 5,AMB.PO.M RAIMONDI,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,P.O.MADDALENA RAIMONDI,12,6,115,1825570854,dursan.posancataldo@asp.cl.it,,934,512229,934,586042
93017,VIA FORLANINI 5,AMB.PO.M RAIMONDI,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,AMBULATORIO E LABORATORIO,P.O.MADDALENA RAIMONDI,12,6,66,1825570854,dursan.posancataldo@asp.cl.it,,934,512229,934,586042
93017,C/DA BELVEDERE N°1,POLIAMBULATORIO,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,6,148,1825570854,poliambulatorio.sancataldo@asp.cl.it,,934,506511,934,506525
93019,VIA ALDO MORO 76,POLIAMBULATORIO,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,6,44,1825570854,presidio.sommatino@asp.cl.it,,922,871109,922,873409
93019,VIA ALDO MORO 76,POLIAMBULATORIO,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,AMBULATORIO E LABORATORIO,,12,4,7,1825570854,presidio.sommatino@asp.cl.it,,922,871109,922,873409
93018,VIA RISORGIMENTO 2,POLIAMBULATORIO,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,5,39,1825570854,presidiosantacaterina@asp.cl.it,,934,671555,,
93016,Via Forlanini n°5,HOSPICE ( SAN CATALDO),ASSISTENZA AI MALATI TERMINALI,STRUTTURA RESIDENZIALE,P.O.MADDALENA RAIMONDI,12,0,0,1825570854,hospice@asp.cl.it,,934,512325,934,512321
93012,VIA PALAZZI; 177,HOSPICE - TERAPIA DEL DOLORE,ASSISTENZA AI MALATI TERMINALI,STRUTTURA RESIDENZIALE,P.O. VITTORIO EMANUELE (ex AO),12,0,0,1825570854,hospice.pogela@.asp.cl.it,www.asp.cl.it,933,831544,,
93100,VIA ALCIDE DE GASPERI,CONSULTORIO FAMILIARE 1,ATTIVITA' CLINICA,ALTRO TIPO DI STRUTTURA TERRITORIALE,,12,5,24,1825570854,consultorio.cl1@asp.cl.it,,934,21129,934,21129
93100,VIA ALCIDE DE GASPERI,CONSULTORIO FAMILIARE 1,ATTIVITA' DI CONSULTORIO MATERNO-INFANTILE,ALTRO TIPO DI STRUTTURA TERRITORIALE,,12,5,24,1825570854,consultorio.cl1@asp.cl.it,,934,21129,934,21129
93100,VIALE REGINA MARGHERITA 34/36,CONSULTORIO FAMILIARE 2,ATTIVITA' CLINICA,ALTRO TIPO DI STRUTTURA TERRITORIALE,,12,5,36,1825570854,consultorio.cl2@asp.cl.it,,934,506570,934,29618
93100,VIALE REGINA MARGHERITA 34/36,CONSULTORIO FAMILIARE 2,ATTIVITA' DI CONSULTORIO MATERNO-INFANTILE,ALTRO TIPO DI STRUTTURA TERRITORIALE,,12,5,36,1825570854,consultorio.cl2@asp.cl.it,,934,506570,934,29618
93012,VIA EUROPA 67,CONSULTORIO FAMILIARE 1,ATTIVITA' CLINICA,ALTRO TIPO DI STRUTTURA TERRITORIALE,,12,5,38,1825570854,consultorio.gela1@asp.cl.it,,933,939344,933,939344
93012,VIA EUROPA 67,CONSULTORIO FAMILIARE 1,ATTIVITA' DI CONSULTORIO MATERNO-INFANTILE,ALTRO TIPO DI STRUTTURA TERRITORIALE,,12,5,38,1825570854,consultorio.gela1@asp.cl.it,,933,939344,933,939344
93012,VICO IACONA 5,CONSULTORIO FAMILIARE 2,ATTIVITA' CLINICA,ALTRO TIPO DI STRUTTURA TERRITORIALE,,12,5,36,1825570854,consultorio2.gela@asp.cl.it,,933,922063,,
93012,VICO IACONA 5,CONSULTORIO FAMILIARE 2,ATTIVITA' DI CONSULTORIO MATERNO-INFANTILE,ALTRO TIPO DI STRUTTURA TERRITORIALE,,12,5,36,1825570854,consultorio2.gela@asp.cl.it,,933,922063,,
93014,VIA MANZONI N 31,CONSULTORIO FAMILIARE,ATTIVITA' CLINICA,ALTRO TIPO DI STRUTTURA TERRITORIALE,,12,5,25,1825570854,consultorio.mussolmeli@asp.cl.it,,934,506476,,
93014,VIA MANZONI N 31,CONSULTORIO FAMILIARE,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,ALTRO TIPO DI STRUTTURA TERRITORIALE,,12,5,25,1825570854,consultorio.mussolmeli@asp.cl.it,,934,506476,,
93014,VIA MANZONI N 31,CONSULTORIO FAMILIARE,ATTIVITA' DI CONSULTORIO MATERNO-INFANTILE,ALTRO TIPO DI STRUTTURA TERRITORIALE,,12,6,30,1825570854,consultorio.mussolmeli@asp.cl.it,,934,506476,,
93015,VIA MAZZINI 43,CONSULTORIO FAMILIARE,ATTIVITA' CLINICA,ALTRO TIPO DI STRUTTURA TERRITORIALE,,12,5,38,1825570854,consultorio.niscemi@tiscali.it,,933,887424,933,887424
93015,VIA MAZZINI 43,CONSULTORIO FAMILIARE,ATTIVITA' DI CONSULTORIO MATERNO-INFANTILE,ALTRO TIPO DI STRUTTURA TERRITORIALE,,12,5,38,1825570854,consultorio.niscemi@tiscali.it,,933,887424,933,887424
93016,C/DA CICIONE,CONSULTORIO FAMILIARE,ATTIVITA' CLINICA,ALTRO TIPO DI STRUTTURA TERRITORIALE,,12,6,38,1825570854,consultorio.riesi@asp.cl.it,,934,923209,934,923209
93016,C/DA CICIONE,CONSULTORIO FAMILIARE,ATTIVITA' DI CONSULTORIO MATERNO-INFANTILE,ALTRO TIPO DI STRUTTURA TERRITORIALE,,12,6,38,1825570854,consultorio.riesi@asp.cl.it,,934,923209,934,923209
93017,Via C. Colombo 5,CONSULTORIO FAMILIARE,ATTIVITA' CLINICA,ALTRO TIPO DI STRUTTURA TERRITORIALE,,12,5,36,1825570854,consultorio.sancataldo@asp.cl.it,,934,571606,934,571606
93017,Via C. Colombo 5,CONSULTORIO FAMILIARE,ATTIVITA' DI CONSULTORIO MATERNO-INFANTILE,ALTRO TIPO DI STRUTTURA TERRITORIALE,,12,5,36,1825570854,consultorio.sancataldo@asp.cl.it,,934,571606,934,571606
93010,VIA MINTINA,CONSULTORIO FAMILIARE,ATTIVITA' CLINICA,ALTRO TIPO DI STRUTTURA TERRITORIALE,,12,5,36,1825570854,consultorio.serradifalco@asp.cl.it,,934,931710,,
93010,VIA MINTINA,CONSULTORIO FAMILIARE,ATTIVITA' DI CONSULTORIO MATERNO-INFANTILE,ALTRO TIPO DI STRUTTURA TERRITORIALE,,12,5,36,1825570854,consultorio.serradifalco@asp.cl.it,,934,931710,,
93010,VIA LEONARDO DA VINCI S.N,CONSULTORIO FAMILIARE,ATTIVITA' CLINICA,ALTRO TIPO DI STRUTTURA TERRITORIALE,,12,6,38,1825570854,consultorio.vallelunga@asp.cl.it,,934,814429,934,814429
