INDIRIZZO,DESCRIZIONEFARMACIA,PARTITAIVA,CAP,DESCRIZIONECOMUNE,SIGLAPROVINCIA,DESCRIZIONEPROVINCIA,DESCRIZIONETIPOLOGIA,LATITUDINE,LONGITUDINE
"Piazza San Nicolo', 6",Eredi Nicolacopulu Dr.ssa Alessandra Saglimbeni & C. Snc,2859000834,98127,MESSINA,ME,MESSINA,Ordinaria,"38,15216965","15,50623005"
"Via Calderà, 61",Zangla Marcello,405060831,98051,BARCELLONA POZZO DI GOTTO,ME,MESSINA,Ordinaria,"38,13272456","15,2274408"
"Via Nazionale, 66",Mangano Carlotta,398740837,98161,MESSINA,ME,MESSINA,Ordinaria,"38,10333387","15,50723587"
"Via Pola, 37 B- Fraz. San Giorgio",La Pinta Maria Stella,413990839,98063,GIOIOSA MAREA,ME,MESSINA,Ordinaria,"38,15770663","14,9202854"
"Via Nazionale,137",Chiofalo Giuseppe,387090830,98060,FALCONE,ME,MESSINA,Ordinaria,"38,10406048","15,06713895"
"Via Gesù E Maria, 19 - 21",Comunale,527130835,98078,SAN SALVATORE DI FITALIA,ME,MESSINA,Ordinaria,"38,05826","14,778475"
"Via Nazionale, 57/a",Farmacia Di Valdina Della D.ssa Danze' Adele,3013300839,98040,VALDINA,ME,MESSINA,Ordinaria,"38,2262792","15,395357"
"Via Umberto, 221   223",FARMACIA MIRANTI S.R.L.,3647790835,98063,GIOIOSA MAREA,ME,MESSINA,Ordinaria,"38,15770663","14,9202854"
"Via Messina,49/9",Di Giuseppe Lina,771360831,98060,MONTALBANO ELICONA,ME,MESSINA,Ordinaria,"38,024661","15,012681"
"Via Umberto I, 309",Zahami Arena & C. Snc,2859630838,98026,NIZZA DI SICILIA,ME,MESSINA,Ordinaria,"37,9924427","15,4114155"
"Via S. Onofrio, 75",Pino Pina Sara,15112,98032,CASALVECCHIO SICULO,ME,MESSINA,Ordinaria,"37,98240206","15,278431"
"Via M. Garufi, 32",Bruno Concetta,965510837,98037,LETOJANNI,ME,MESSINA,Ordinaria,"37,878273","15,305452"
"Via Risorgimento, 188",Garufi Tommasa,1411120833,98020,PAGLIARA,ME,MESSINA,Ordinaria,"37,972965","15,380958"
"Via Liberta', 48",Cucinotta Orazio,1507140836,98050,LENI,ME,MESSINA,Ordinaria,"38,5566649","14,82655633"
"Rione Aldisio - Via Scipione Errico, 103",Fiandaca,1634690836,98147,MESSINA,ME,MESSINA,Ordinaria,"38,1940297","15,554114"
"Via Provinciale, 1",Ilacqua Antonella Maria,1647520830,98040,ROCCAVALDINA,ME,MESSINA,Ordinaria,"38,17797215","15,38022616"
"Viale San Martino, 183 Is. 124",Pinnizzotto & C. Snc Messina,2929120836,98123,MESSINA,ME,MESSINA,Ordinaria,"38,1940297","15,554114"
"Santa Margherita - Piazza Chiesa, 13",Scoglio Letteria,1748130836,98136,MESSINA,ME,MESSINA,Ordinaria,"38,1940297","15,554114"
"Via Cavour, 2",FARMACIA MIRANTI LUISA &amp; C. S.A.S.,3645840830,98070,CASTEL DI LUCIO,ME,MESSINA,Ordinaria,"37,88286531","14,29543306"
"Via G. Martino, 19",FARMACIA GENOVESE DI SCHIRO' BETTY & C. S.A.S.,3440020836,98051,BARCELLONA POZZO DI GOTTO,ME,MESSINA,Ordinaria,"38,13272456","15,2274408"
Piazza Principe Umberto I,Ristagno Graziella,1782810830,98155,MESSINA,ME,MESSINA,Ordinaria,"38,1940297","15,554114"
"Via Longano, 1",Venuto Angela,1901790830,98051,BARCELLONA POZZO DI GOTTO,ME,MESSINA,Ordinaria,"38,13272456","15,2274408"
"Via San Francesco Di Paola,39",Maiorana Stefano Mauro,1901680833,98051,BARCELLONA POZZO DI GOTTO,ME,MESSINA,Ordinaria,"38,13272456","15,2274408"
"Via Nazionale, 330",Farmacia Macchia S.a.s. Di R. Badessa E C.,3529340832,98040,ROMETTA,ME,MESSINA,Ordinaria,"38,2303886","15,4084625"
"Ponte Zaera, 8 Ang. Viale Europa",Pirri,1963690837,98124,MESSINA,ME,MESSINA,Ordinaria,"38,1940297","15,554114"
"Via Nazionale, 163  Resid.sud 80 - Ctr.runci",Tambato Giuseppina,2574770836,98135,MESSINA,ME,MESSINA,Ordinaria,"38,10333387","15,50723587"
"Largo S. Pantaleone, 16",Lanza Maria E.n.,2143990832,98070,ALCARA LI FUSI,ME,MESSINA,Ordinaria,"38,022471","14,701457"
"Via Mazzullo, 110",Mastroeni Di Maria Eugenia Salvo & C. Sas,2915650838,98020,MANDANICI,ME,MESSINA,Ordinaria,"38,01210136","15,32667603"
"Via Roma, 14",FARMACIA DEI DOTTORI LOMBARDO SERGIO E NASTASI ANGELA S.N.C.,3537620837,98040,CONDRO',ME,MESSINA,Ordinaria,"38,1733162","15,3268126"
"Corso Calatafini, 210",Barone Maria Vita,154140826,90129,PALERMO,PA,PALERMO,Ordinaria,"38,13022074","13,33094987"
"Piazza Della Chiesa S.a. Dei Liguori, 31",Farmacia Borsellino Dr. Riccardo Listro,5257230820,90145,PALERMO,PA,PALERMO,Ordinaria,"38,13022074","13,33094987"
"Via Giuseppe Pitrè, 118/d",Consiglio Dino,312070824,90135,PALERMO,PA,PALERMO,Ordinaria,"38,1104391","13,3282173"
"Via Emerico Amari, 2",Li Calzi Giuseppe,264710823,90139,PALERMO,PA,PALERMO,Ordinaria,"38,12508965","13,35757542"
"Viale Michelangelo, 1938",Maniscalco Adele,274660828,90135,PALERMO,PA,PALERMO,Ordinaria,"38,13555785","13,31607233"
"Corso Calatafimi, 464",Eredi Di Elena D.ssa Verga Sdf,5745750827,90129,PALERMO,PA,PALERMO,Ordinaria,"38,10305774","13,33033886"
"Via Maqueda, 13",Teresi Maria,205010820,90133,PALERMO,PA,PALERMO,Ordinaria,"38,11842052","13,35968901"
"Piazza Mazzini, 8",Cicero Antonietta,15212,90010,ISNELLO,PA,PALERMO,Ordinaria,"37,91477662","14,00688729"
"Via Vittorio Emanuele, 85",Eredi Cirrito Francesco,5213250821,90022,CALTAVUTURO,PA,PALERMO,Ordinaria,"37,79253029","13,91358552"
"Viaettore Maiorana, 27",Tortorici Ivan,1488560820,90019,TRABIA,PA,PALERMO,Ordinaria,"37,98842301","13,61226055"
"Via Cavour, 80",Licari Giuseppe,176880821,90020,VICARI,PA,PALERMO,Ordinaria,"37,79342105","13,56899256"
"Via Vittorio Emanuele, 54",Morreale Tiziana,232110825,90018,TERMINI IMERESE,PA,PALERMO,Ordinaria,"37,95990094","13,7408497"
"Corso Umberto, 57",Pisciotta Leda Snc,6008820828,90010,GRATTERI,PA,PALERMO,Ordinaria,"37,9741307","13,97862067"
"Via Umberto I, 172",Micciche' Giuseppe,164620825,90048,SAN GIUSEPPE JATO,PA,PALERMO,Ordinaria,"37,97117925","13,17763964"
"Via Della Liberta`, 17/a",Angilella Salvatore E Dario Snc,5498440824,90139,PALERMO,PA,PALERMO,Ordinaria,"38,12759269","13,35372167"
"Via Madonna del Ponte, 13",FARMACIA M. SS. DEL PONTE SRL,6797070825,90041,BALESTRATE,PA,PALERMO,Ordinaria,"38,051425","13,007855"
"Corso Vittorio Emanuele, 236",Ganguzza Lorenzo,6396200823,90039,VILLABATE,PA,PALERMO,Ordinaria,"38,07779412","13,4426706"
"Corso Butera, 32",Aiello Teresa,119240828,90011,BAGHERIA,PA,PALERMO,Ordinaria,"38,08454883","13,50601688"
"Via Dante, 59",Siagura Luigi,131720823,90141,PALERMO,PA,PALERMO,Ordinaria,"38,12285979","13,34701925"
"Piazza Castelreale, 1",Ruffino Giovanni,227720828,90020,SCIARA,PA,PALERMO,Ordinaria,"37,9143735","13,7622167"
"Via Cavour, 96",Antica Farmacia Cavour,6211640823,90133,PALERMO,PA,PALERMO,Ordinaria,"38,08617602","13,53755206"
"Corso Calatafimi, 415",Polizzi Rosalia,237630827,90129,PALERMO,PA,PALERMO,Ordinaria,"38,10305774","13,33033886"
"Via Iv Aprile, 173",Taravella Cruciano,160240826,90036,MISILMERI,PA,PALERMO,Ordinaria,"38,01763855","13,43801085"
"Via Archimede, 182",Menni Giovanni,140810821,90139,PALERMO,PA,PALERMO,Ordinaria,"38,08017221","13,28856818"
"Strada Statale 120, Km 65,600",La Cara Giuseppe,288370828,90026,PETRALIA SOPRANA,PA,PALERMO,Ordinaria,"37,78365003","14,12517061"
"Via Palmerino, 18/h",Guccione Matteo,190100826,90129,PALERMO,PA,PALERMO,Ordinaria,"38,09679876","13,33080971"
"Corso Tukory, 190",Genovese Diego,190060822,90134,PALERMO,PA,PALERMO,Ordinaria,"38,10801535","13,35639875"
"Piazza Umberto I, 23",Panzeca Emanuela,5962050828,90018,TERMINI IMERESE,PA,PALERMO,Ordinaria,"37,9865328","13,6950116"
"Via Vito Cesare Piazza, 19",Barone Mario,536610827,90129,PALERMO,PA,PALERMO,Ordinaria,"38,13022074","13,33094987"
"Corso Vittorio Emanuele, 516",D'Anna Fabio,643030828,90039,VILLABATE,PA,PALERMO,Ordinaria,"38,07779412","13,4426706"
"Via Bartolomeo Berrettaro, 22/24",Farmacia Cali' Maria Gabriella,617560826,90145,PALERMO,PA,PALERMO,Ordinaria,"38,11842052","13,35968901"
"Via Messina Marine, 795",Di Figlia Laura,5256660829,90121,PALERMO,PA,PALERMO,Ordinaria,"38,09617774","13,42503112"
"Corso P. Novelli, 71",Pedone Giuseppa & C. Snc,5530090827,90046,MONREALE,PA,PALERMO,Ordinaria,"38,0810713","13,2894297"
"Via Aloi, 3c",Tripi Del Dr. Francesco Miraglia,205040827,90133,PALERMO,PA,PALERMO,Ordinaria,"38,08016691","13,35410226"
"Corso Umberto, 73",Di Marco Pietro,2542500828,90020,BAUCINA,PA,PALERMO,Ordinaria,"37,9254289","13,5377102"
"Via Strang, 4",La Marca Vincenza,2555900824,90010,CERDA,PA,PALERMO,Ordinaria,"37,89396817","13,82317541"
"Corso Dei Mille, 179",Provenzani Carlo,164810822,90123,PALERMO,PA,PALERMO,Ordinaria,"38,10773708","13,37188681"
"Via Liberta`, 156",Di Pietro Maria,3318190828,90010,POLLINA,PA,PALERMO,Ordinaria,"38,0197753","14,164229"
"Via Guglielmo Marconi, 51",Raccuglia Giuseppe,2510520824,90040,TORRETTA,PA,PALERMO,Ordinaria,"38,14202624","13,2398964"
"Corso Roma, 99",Farmacia Del Corso Di Scrozzo Amalia,6554860822,90042,BORGETTO,PA,PALERMO,Ordinaria,"38,0470372","13,1420902"
"Via Ponte Di Mare, 77",Sant'Erasmo,5632540828,90123,PALERMO,PA,PALERMO,Ordinaria,"38,11175745","13,37836688"
"Corso Filangeri, 136",Ciancio Silva,3625280825,90017,SANTA FLAVIA,PA,PALERMO,Ordinaria,"38,08362729","13,52969535"
Via Xxiv Maggio,Giaccone Benedetto,2850950821,90032,BISACQUINO,PA,PALERMO,Ordinaria,"37,73003989","13,21680196"
"Via Gustavo Roccella, 49",Farmacia Roccella Snc Di Anna Maria Marascia E C.,6590840820,90128,PALERMO,PA,PALERMO,Ordinaria,"38,0968251","13,34902266"
"Via Volturno, 83",Lauricella Giuseppina,3772800821,90138,PALERMO,PA,PALERMO,Ordinaria,"38,11973734","13,35481844"
"Via Vito La Mantia, 101",Roxas Giovanbattista,3785300827,90138,PALERMO,PA,PALERMO,Ordinaria,"38,13022074","13,33094987"
"Via Catania, 19",Blesi Margherita,3877550826,90020,ALIMENA,PA,PALERMO,Ordinaria,"37,67641798","14,12206423"
"Via Via Cruillas, 3/C",Cipolla Roberto,6671340823,90146,PALERMO,PA,PALERMO,Ordinaria,"38,14401724","13,31823079"
"Via Roma, 207",Di Naro Sante,3970770826,90133,PALERMO,PA,PALERMO,Ordinaria,"38,1313676","13,18377036"
"Via Isidoro La Lumia, 2",Ciancio Sonia,4018830820,90139,PALERMO,PA,PALERMO,Ordinaria,"38,1260768","13,3580636"
"Via Poste, 16",Riccobene Rosaria,4010010827,90020,BOMPIETRO,PA,PALERMO,Ordinaria,"37,70251464","14,1204042"
"Via BRUNETTO LATINI, 14",FARMACIA SPARTI DOTT. FABIO,6909290824,90142,PALERMO,PA,PALERMO,-,"38,12306419","13,35005502"
"Via Castellana, 154",Vita Margherita & C. Snc,4141350829,90100,PALERMO,PA,PALERMO,Ordinaria,"38,12570372","13,30181672"
"Via M. Toselli, 83",Indelicato Ilario,4150450825,90143,PALERMO,PA,PALERMO,Ordinaria,"38,13698","13,3520197"
"Via Chiesa, 79",Di Salvo Giovanna & C. Snc,4149150825,90010,SANTA FLAVIA,PA,PALERMO,Ordinaria,"38,06201305","13,51789217"
"Via Roma, 13",Battaglia Dott. Anna,4206690820,90015,CEFALU',PA,PALERMO,Ordinaria,"38,00010842","14,02433022"
"Via Giovanni Falcone E Paolo Borsellino, 82",Martorana Maria Francesca,4134210824,90035,MARINEO,PA,PALERMO,Ordinaria,"37,94696877","13,41767325"
"Corso Roma, 49",Amato Angela,4213370820,90042,BORGETTO,PA,PALERMO,Ordinaria,"38,04223752","13,15642078"
"Via D`ossuna, 177",Triolo Livia & C. Snc,4234370825,90138,PALERMO,PA,PALERMO,Ordinaria,"38,11550471","13,35040495"
"Via Vittorio Emanuele, 4",Ditta Dario,4253060828,90040,MONREALE,PA,PALERMO,Ordinaria,"37,92511241","13,178106"
"Via Roma, 2",Di Giorgio Di Arcuri Marisa & A. Snc,4042040826,90033,CHIUSA SCLAFANI,PA,PALERMO,Ordinaria,"37,67120728","13,29398245"
"Piazza V. Veneto, 11",Figuccia Clara,4323710824,90143,PALERMO,PA,PALERMO,Ordinaria,"38,13022074","13,33094987"
"Via Alcide De Gasperi, 221",Tiberio V. & M.t. Snc,4025090822,90146,PALERMO,PA,PALERMO,Ordinaria,"38,15075362","13,33697715"
"Via Imera, 1/b",Cucchiara Carlo Alberto,2809940840,90138,PALERMO,PA,PALERMO,Ordinaria,"38,11528576","13,34951932"
"Via Gino Zappa, 144",Tulone Libero E C. Snc,4344640828,90146,PALERMO,PA,PALERMO,Ordinaria,"38,17832093","13,31231513"
"Viale Delle Alpi, 85/a",Viola Valeria,4332320821,90144,PALERMO,PA,PALERMO,Ordinaria,"38,07680789","13,43784568"
"Largo Edoardo Alfano, 3",Timoneri Luigi Snc,4050400821,90139,PALERMO,PA,PALERMO,Ordinaria,"38,1282808","13,3585952"
"Piazza Duomo, 19",Guzzetta Maria Gabriella,5268140828,90044,CARINI,PA,PALERMO,Ordinaria,"38,13143354","13,18135028"
"Via Galileo Galilei, 123",Sanfilippo Snc,4373220823,90145,PALERMO,PA,PALERMO,Ordinaria,"38,13176369","13,33419643"
"Via San Martino, 98",Rizzo Daniela,4382230821,90034,CORLEONE,PA,PALERMO,Ordinaria,"37,79949612","13,31669517"
"Viale Europa, 151/c",Europa Snc Dei Dr.i Liotta Alessandra E Scardina Pietro Massimiliano,6505670825,90039,VILLABATE,PA,PALERMO,Ordinaria,"38,07668761","13,44215646"
"Via Via Maqueda, 189",FARMACIA FERRARA SNC,4280600828,90133,PALERMO,PA,PALERMO,Ordinaria,"38,11842052","13,35968901"
"Via Ss. Salvatore, 19",Franco Maria Giuseppina,4519230827,90010,GERACI SICULO,PA,PALERMO,Ordinaria,"37,85228879","14,17253559"
"Via Dante, 15/a",Tedesco Pietro,4565250828,90141,PALERMO,PA,PALERMO,Ordinaria,"38,12285979","13,34701925"
"Viale Strasburgo, 306",Zasa Snc,4566630820,90146,PALERMO,PA,PALERMO,Ordinaria,"38,16373565","13,3196278"
"Via Cavour, 79",Valerio Caterina,4689370825,90133,PALERMO,PA,PALERMO,Ordinaria,"38,08617602","13,53755206"
"Via Manzoni, 74",Fatta Della Dr.ssa Luisa Cirrito,4728880826,90022,CALTAVUTURO,PA,PALERMO,Ordinaria,"37,822085","13,890256"
"Corso Calatafimi, 71",Orecchio Maria Teresa,4717880829,90129,PALERMO,PA,PALERMO,Ordinaria,"38,10305774","13,33033886"
"Via Simone Cuccia, 13/15",Giardina Anna,4718340823,90144,PALERMO,PA,PALERMO,Ordinaria,"38,14005048","13,34387603"
"Piazza Falcone Borsellino Magistrati, 1",Farmacia Lo Nigro Sas Di Lo Nigro Dorotea Maria Lucia,6337730821,90030,ALTOFONTE,PA,PALERMO,Ordinaria,"38,03338035","13,31945695"
"Via Xxvii Maggio, 32",Simonetti Antonio,4761340829,90122,PALERMO,PA,PALERMO,Ordinaria,"38,09637162","13,40416224"
"Via Roma, 6",Glorioso Alessandra,2100250824,90046,MONREALE,PA,PALERMO,Ordinaria,"38,08112495","13,2893929"
"Via SERRADIFALCO, 133/A",SCIASCIA MARCO,4766800827,90133,PALERMO,PA,PALERMO,Ordinaria,"38,1313676","13,18377036"
"Via San Giuseppe, 127",Gentile Gioacchino,1548220829,90010,ALTAVILLA MILICIA,PA,PALERMO,Ordinaria,"38,0415037","13,5476031"
"Corso Dei Mille, 665",D'Angelo Snc,4870330828,90123,PALERMO,PA,PALERMO,Ordinaria,"38,10773708","13,37188681"
"Corso Ruggero, 144",Cirincione Snc,4860850827,90015,CEFALU',PA,PALERMO,Ordinaria,"38,03858354","14,02202032"
"Piazza San Francesco, 10",Gristina Snc,4817570825,90038,PRIZZI,PA,PALERMO,Ordinaria,"37,7221352","13,42825"
"Via Aspromonte, 95/97",Farmacia Linfa S.r.l.,10036670965,90144,PALERMO,PA,PALERMO,Ordinaria,"38,14108891","13,33192187"
"Corso P. Agliata, 156",Abbate Sas,4791760822,90027,PETRALIA SOTTANA,PA,PALERMO,Ordinaria,"37,8074591","14,0928074"
"Viale Strasburgo, 202",Strasburgo Snc,4895960823,90146,PALERMO,PA,PALERMO,Ordinaria,"38,16373565","13,3196278"
"Via Schiuti, 77/h",San Michele Snc Di Pipi E. E D'Alessandro D.,5255600826,90144,PALERMO,PA,PALERMO,Ordinaria,"38,13022074","13,33094987"
"Via Roma, 13",Santa Cristina Snc,4558830826,90030,SANTA CRISTINA GELA,PA,PALERMO,Ordinaria,"37,984428","13,3292162"
"Piazza Castelnuovo, 21",Del Centro Snc Dr.sse Colluva' A.m. E Lombardo B.m.,4965840822,90141,PALERMO,PA,PALERMO,Ordinaria,"38,12451033","13,35525124"
"Via Mariano Stabile, 177",Inglese Sas,5855020821,90142,PALERMO,PA,PALERMO,Ordinaria,"38,12315367","13,35830491"
"Via Dell'Ermellino, 28",Ruggeri Snc Delle Dr.sse Letizia E Maria Teresa Ruggeri,4916470828,90125,PALERMO,PA,PALERMO,Ordinaria,"38,08680374","13,36308032"
"Corso Baldassare Scaduto, 135",Farmacia Scaduto Di Scaduto Nunzio S.a.s.,5016370826,90011,BAGHERIA,PA,PALERMO,Ordinaria,"38,07619955","13,49707364"
"Piazza A. Cataldo, 10",Romano Urania Maria,5046830823,90040,CAPACI,PA,PALERMO,Ordinaria,"38,171383","13,239295"
"Via Maqueda, 49",Tortorici Snc,4144010826,90133,PALERMO,PA,PALERMO,Ordinaria,"38,11842052","13,35968901"
"Via Roma, 1",Della Stazione Centrale Snc,5068370823,90133,PALERMO,PA,PALERMO,Ordinaria,"38,1313676","13,18377036"
"Via F.g. Vitale, 91",Brucato Di Brucato Maria & C. Snc,4032280820,90024,GANGI,PA,PALERMO,Ordinaria,"37,7966504","14,2059064"
"Via Vittorio Alfieri, 11",Di Stefano Grazia,15510,92010,LAMPEDUSA E LINOSA,AG,AGRIGENTO,Ordinaria,"35,50306076","12,61486082"
"Viale Dei Platani, 112",Antoci  Di Antoci Carlo,1433250881,97100,RAGUSA,RG,RAGUSA,Ordinaria,"36,91776232","14,71396068"
"Via Corso Umberto, 86",farmacia aquiletta denaro srl,1724750888,97014,ISPICA,RG,RAGUSA,Ordinaria,"36,78614108","14,90657614"
"Via Corso Italia, 303",Farmacia Giampiccolo srl,1699100887,97100,RAGUSA,RG,RAGUSA,Ordinaria,"36,87230351","14,76119524"
"Via Xxv Luglio, 361",Albani Gaetano,1585360884,97013,COMISO,RG,RAGUSA,Ordinaria,"36,96394265","14,59410392"
"Via Montesano, 5",Incardona Luigi,283130888,97012,CHIARAMONTE GULFI,RG,RAGUSA,Ordinaria,"37,04452765","14,65411532"
"Via Garibaldi, 465",Emaia Di Cali' Maria Rita E Paolo Snc,1473360889,97019,VITTORIA,RG,RAGUSA,Ordinaria,"36,95692426","14,49619784"
"Via Via Nino Bixio, 15",FARMACIA EREDI DI LOSI LUIGI DI BELLINO MARIA ANNA E C. S.N.C.,1780920888,97016,POZZALLO,RG,RAGUSA,Ordinaria,"36,7267655","14,8446816"
"Corso Garibaldi, 67",Pacetto Del Dott. Antonio Platania,1523870887,97018,SCICLI,RG,RAGUSA,Ordinaria,"36,7765799","14,69785596"
"Via Majorana, 6",Tavormina Girolamo,407530880,97012,CHIARAMONTE GULFI,RG,RAGUSA,Ordinaria,"37,04452765","14,65411532"
"Via Orfanotrofio, 21",Ottaviano Concetta,135810885,97100,RAGUSA,RG,RAGUSA,Ordinaria,"36,9269788","14,74443693"
"Piazza Rimembranza, 63",Scalia Carmela,217480888,97016,POZZALLO,RG,RAGUSA,Ordinaria,"36,727248","14,847622"
Via Sorda Sampierini 5/a,Amore Raffaele Di Amore Raffaele & C. S.n.c.,1562160885,97015,MODICA,RG,RAGUSA,Ordinaria,"36,85389858","14,82264719"
"Via ROMA, 161/C",FARMACIA ROMA S.R.L.,1767330887,97019,VITTORIA,RG,RAGUSA,Ordinaria,"36,95692426","14,49619784"
"Via Roma, 26",Carnazzo Maurizio,822070884,97017,SANTA CROCE CAMERINA,RG,RAGUSA,Ordinaria,"36,82529722","14,52356851"
"Corso Vittorio Emanuele, 270",Incardona,826410888,97013,COMISO,RG,RAGUSA,Ordinaria,"36,94613985","14,60941375"
"Via Gianforma, 82",Vindigni Massimo,865530885,97010,MODICA,RG,RAGUSA,Ordinaria,"36,85389858","14,82264719"
"Via Gen. Girlando, 5/a",Amato Salvatrice E Vincenzo Snc,934530882,97013,COMISO,RG,RAGUSA,Ordinaria,"36,949872","14,609552"
"Corso Vittorio Veneto, 122",Di Natale Emanuela,976870881,97100,RAGUSA,RG,RAGUSA,Ordinaria,"36,92728984","14,71496673"
"Via Nazionale, 308",Roccasalva Sabina,1026820884,97015,MODICA,RG,RAGUSA,Ordinaria,"36,84967365","14,76478837"
"Via Duca D'Aosta, 22",Antica Farmacia Di Sparacino Marco A. E Maltese L. Snc,1039740889,97018,SCICLI,RG,RAGUSA,Ordinaria,"36,7930564","14,7074619"
"Via Vittorio Emanuele, 2",Eredi Gulle',961250883,97010,MONTEROSSO ALMO,RG,RAGUSA,Ordinaria,"37,07695987","14,74108235"
"Via Cavour, 133 - 135",Iacono Gaetana & Antonio Snc,1113180887,97019,VITTORIA,RG,RAGUSA,Ordinaria,"36,95499245","14,5295373"
"Corso Umberto I, 76",Azzara E Garretto Snc,1160510887,97012,CHIARAMONTE GULFI,RG,RAGUSA,Ordinaria,"37,03151455","14,7006581"
"Via Risorgimento, 89",Eredi Meli Di Rosalia Ed Elisa Giampiccolo S.n.c.,1180930883,97100,RAGUSA,RG,RAGUSA,Ordinaria,"36,91656068","14,72671366"
"Corso Regina Elena, 8",Guccione Dei Dr.i Giorgio Guccione Ed Emanuela Guccione Snc,1144550884,97015,MODICA,RG,RAGUSA,Ordinaria,"36,8653004","14,7629779"
"Via Via Vittorio Emanuele, 104",Nigro Giovanna,2085730899,96010,MELILLI,SR,SIRACUSA,Ordinaria,"37,17956711","15,1239279"
"Via Ducrezio, 49",Rubino Di Lanteri S. E C. Snc,55710891,96017,NOTO,SR,SIRACUSA,Ordinaria,"36,91237347","15,01984623"
"Piazza Del Popolo, 15",Bongiorno Giuseppe,35320894,96010,PALAZZOLO ACREIDE,SR,SIRACUSA,Ordinaria,"37,06180748","14,90431092"
"Via Umberto, 71",Rizzo Sebastiano,55560890,96010,SORTINO,SR,SIRACUSA,Ordinaria,"37,14024162","15,03768457"
"Via Garibaldi, 41",Costa Corrado,124400896,96017,NOTO,SR,SIRACUSA,Ordinaria,"36,894463","15,072765"
"Via Nazionale, 177",Li Destri Anna Maria,181310897,96010,SIRACUSA,SR,SIRACUSA,Ordinaria,"37,0714069","15,2829873"
"Via Necropoli Grotticelle, 25/d",Caruso Di Caruso Salvatore,1557590898,96100,SIRACUSA,SR,SIRACUSA,Ordinaria,"37,080336","15,2776014"
"Via Vittorio Emanuele, 95",D'Agata Dr Lentini,9262421002,96010,PORTOPALO DI CAPO PASSERO,SR,SIRACUSA,Ordinaria,"36,67286268","15,10066252"
"Via Guglielmo Marconi, 71",Strazzeri Luigi & C. Snc,1892040898,96013,CARLENTINI,SR,SIRACUSA,Ordinaria,"37,2873945","15,00294922"
"Via Filiberto, 213",Cosentino Maurizio,468850896,96015,FRANCOFONTE,SR,SIRACUSA,Ordinaria,"37,22699099","14,8661441"
"Via Diaz, 13",Cocuzza Massimo Snc M. & C.,1562050896,96015,FRANCOFONTE,SR,SIRACUSA,Ordinaria,"37,22699099","14,8661441"
"Corso Giacomo Matteotti, 53",Mangiafico Serafina,717220891,96100,SIRACUSA,SR,SIRACUSA,Ordinaria,"37,0714069","15,2829873"
"Viale EPIPOLI, 180/B",FARMACIA DOTTORI PAPPALARDO MARGHERITA E AGATINO S.A.S.,2057830891,96100,SIRACUSA,SR,SIRACUSA,Ordinaria,"37,0839958","15,2513996"
"Via Via Gramsci, 4",Farmacia Zivillica SRL,2009180890,96010,FERLA,SR,SIRACUSA,Ordinaria,"37,13363842","14,93239804"
"Via Grotta Santa, 69",FARMACIA DEL VIALE SAS DEL DOTT. ANDREA RICCOBONO & C TERZA SEDE,1851840890,96100,SIRACUSA,SR,SIRACUSA,Ordinaria,"37,0714069","15,2829873"
"Via Principe Umberto, 170",Galardi Marco,1942820893,96011,AUGUSTA,SR,SIRACUSA,Ordinaria,"37,27198315","15,12673274"
"Viale Scala Greca, 311",Nigro Maria,986350890,96100,SIRACUSA,SR,SIRACUSA,Ordinaria,"37,0714069","15,2829873"
"Via Alessandro Manzoni, 96",San Luigi Di Farmanuova Di Giuseppe E Fabio Novello Snc,1846840898,96018,ROSOLINI,SR,SIRACUSA,Ordinaria,"36,82424","14,947792"
"Via Iblea, 83",Cannata,1080620899,96010,MELILLI,SR,SIRACUSA,Ordinaria,"37,17759778","15,128528"
"Corso Gelone, 91",Fichera Paola,1493810897,96100,SIRACUSA,SR,SIRACUSA,Ordinaria,"37,0714069","15,2829873"
"Corso Vittorio Emanuele, 55",Malfa Claudia,1114530890,96017,NOTO,SR,SIRACUSA,Ordinaria,"36,91237347","15,01984623"
"Via Principe Emanuele, 52",Dr. Farinato Francesco,4179250875,96010,CARLENTINI,SR,SIRACUSA,Ordinaria,"37,25197581","14,9969327"
"Piazza Plebiscito, 1",Saner Pharma S.r.l.,1945270898,96010,SOLARINO,SR,SIRACUSA,Ordinaria,"37,10273372","15,11004242"
"Via Sipione, 78",Guastella Giuseppe,1000910883,96019,ROSOLINI,SR,SIRACUSA,Ordinaria,"36,821063","14,947605"
"Piazza Vittorio Emanuele, 26",Tafuri Francesco & C. Snc,1071740896,96018,PACHINO,SR,SIRACUSA,Ordinaria,"36,71514675","15,09139184"
"Via Paternò, 43",FARMACIA FAVATA DANIELE S.N.C.,1174070894,96100,SIRACUSA,SR,SIRACUSA,Ordinaria,"37,0714069","15,2829873"
"Via Cavour, 107",Inserra Orazio & C. Snc,1182710895,96013,CARLENTINI,SR,SIRACUSA,Ordinaria,"37,27494274","15,01544716"
"Via Principe Umberto, 16",Alessandrello Maria,1197460890,96017,NOTO,SR,SIRACUSA,Ordinaria,"36,91237347","15,01984623"
"Via Cavour, 51",Centrale Giampiccolo & C. Snc,1615980891,96012,AVOLA,SR,SIRACUSA,Ordinaria,"36,91020035","15,1347895"
