SIGLAPROVINCIA;DESCRIZIONEPROVINCIA;DESCRIZIONECOMUNE;CAP;INDIRIZZO;DENOMINAZIONESITOLOGISTICO;LATITUDINE;LONGITUDINE;PARTITAIVA
CT;CATANIA;CATANIA;95124;VIA CROCIFERI N°14,16,18;HERBORARIUM L'ERBORISTERIA SOTTO L'ARCO;37,5049157;15,084825;4046710879
CT;CATANIA;BELPASSO;95032;VIA EMANUELA SETTI CARRARO n°53/53A;PARAFARMACIA DELLA DOTT.SSA EMANUELA PRIVITERA;37,528824;14,93726404;4514970872
SR;SIRACUSA;SIRACUSA;96100;VIA RE FERDINANDO DI BORBONE 4A;FARMAVET DI INTURRI DR. PAOLA;37,0714069;15,2829873;1135930897
TP;TRAPANI;MARSALA;91025;Via Mazara 228/A;FARMAS SNC di Licari Giuseppina;38,01772175;12,5355582;2264570819
SR;SIRACUSA;SIRACUSA;96100;Via Senatore di Giovanni, 20;parafarma s.r.l;37,083703;15,2918862;1584530891
CT;CATANIA;BELPASSO;95032;VIA III^ TRAVERSA 88;PARAFARMACIA SANT'ANTONIO ABATE;37,581302;14,977918;4032030878
CT;CATANIA;BELPASSO;95032;Via III^ TRAVERSA 88;PARAFARMACIA SANT'ANTONIO ABATE;37,581302;14,977918;5204320872
CT;CATANIA;NICOLOSI;95030;piazza della Vittoria 3b,3c;domenica nicoloso;37,613798;15,024682;4510540877
PA;PALERMO;FICARAZZI;90010;Corso Umberto I, 619;Farmaci 01 s.r.l.;38,08836498;13,46233946;5638270826
TP;TRAPANI;TRAPANI;91100;via archi 8;parafarmacia Fontana;38,02515835;12,5335475;2283000814
AG;AGRIGENTO;FAVARA;92026;via vittorio emanuele 23;la bottega della salute di ma.vi.si;37,31834487;13,67252476;2063580845
ME;MESSINA;TORREGROTTA;98040;Via Nazionale 190/b;Parafarmacia salute e benessere s.n.c.;38,1918755;15,3529786;2927730834
AG;AGRIGENTO;AGRIGENTO;92100;Via Emporium, 41;Parafarmacia Di Caro Dott.ssa Adele;37,27158947;13,58406978;2494080845
TP;TRAPANI;MARSALA;91025;via mazzini,51;farmacenter di andrea salvo;38,01667005;12,51799743;1401320815
PA;PALERMO;PALERMO;90145;via Mariano Accardo 26/30;life srl;38,1239777;13,3329973;5624100821
CT;CATANIA;VALVERDE;95028;VIA V:BELLINI 20/A;PARAFARMACIA BELLINI;37,57974968;15,12304938;4512370877
ME;MESSINA;MESSINA;98122;VIA PIETRO CASTELLI N. 13;PARAFARMACIA MONDO ROSA;38,1940297;15,554114;2923500835
TP;TRAPANI;BUSETO PALIZZOLO;91012;VIA P. RANDAZZO N 90;PARAFARMACIA DR. UGO DI ZICHICHI UGO;37,98967565;12,73636912;2284390818
ME;MESSINA;GIARDINI-NAXOS;98035;VIA UMBERTOI261GIARDINI NAXOS (ME);ERBORISTERIA NATUR;37,8241584;15,26243823;4330720873
CT;CATANIA;CALTAGIRONE;95041;Viale Principe Umberto 52;FARMA SANT'ANNA;37,22928814;14,52588506;5891620873
CT;CATANIA;CALTAGIRONE;95041;Viale Principe Umberto 52;PARAFARMACIA SANT'ANNA;37,22928814;14,52588506;4518360872
CT;CATANIA;CATANIA;95027;via nuovalucello 154 m;Farma Planet;37,5360853;15,1015262;4470740871
TP;TRAPANI;CASTELVETRANO;91022;Via Martiri Caduti di Nassirya, C.da strasatto,Svinc.A/29;BELICITTA'  Centro Commerciale;37,6778705;12,7915383;7789660961
SR;SIRACUSA;CARLENTINI;96013;C/DA MARCELLINO (PRESSO STANDA);PARAFARMACIA DR. DI MARI ANTONINO;37,2698234;15,014569;1589680899
PA;PALERMO;PALERMO;90100;Via UMBERTO GIORDANO, 242;PARAFARMACIA DOTTORESSA TIZIANA TERRANOVA;38,1356928;13,33896101;6631870828
PA;PALERMO;PALERMO;90100;VIA UMBERTO GIORDANO, 242;PARAPHARMACIA DELLA DOTT.SSA DE LUCA ROSARIA;38,1356928;13,33896101;5640890827
PA;PALERMO;PALERMO;90135;via castellana n.° 33;Parafarmacia della dott.essa anna pecorella;37,86948091;13,58660166;5430170828
PA;PALERMO;PARTINICO;90047;Via Grata n70;Labatorio erboristico Dr. Vitale;38,0481561;13,1208466;5288980823
ME;MESSINA;ACQUEDOLCI;98070;Via Gen.Di Giorgio,54;chiodo franca sanitari ecc. parafarmacia;38,056059;14,582071;2932400837
SR;SIRACUSA;FRANCOFONTE;96015;via Comm. Belfiore n. 120;Parafarmacia Erboristeria di Santangelo Letizia;37,2260514;14,8786187;931890891
SR;SIRACUSA;FRANCOFONTE;96015;via Comm. Belfiore n. 120;Parafarmacia Erboristeria l'angolo della natura;37,2260514;14,8786187;931890891
CT;CATANIA;CATANIA;95125;VIA ETNEA 353;PARAFARMACIA CASA DELLA SALUTE SRL;37,61329663;15,02667227;4514480872
CT;CATANIA;CATANIA;95100;VIA ALVISE CADAMOSTO 13/15;PARAFARMACIA CASA DELLA SALUTE SRL.;37,51018565;15,0628804;4514480872
CT;CATANIA;CATANIA;95100;VIA CONTE DI TORINO 50;PARAFARMACIA CASA DELLA SALUTE SRL;37,51062599;15,09621228;4514480872
CT;CATANIA;TREMESTIERI ETNEO;95030;PIAZZA TIVOLI 14;CORSARO CATERINA FAUSTA;37,54106938;15,0991911;4516900877
PA;PALERMO;PALERMO;90144;Via F. G. Pipitone, 77/79;ALVIN DI TRUPIA ALESSIO S.A.S.;38,13022074;13,33094987;5634970825
PA;PALERMO;PALERMO;90144;via F. G. Pipitone 77/79;Alvin di Chiavetta A. & Gulisano V. s.n.c.;38,13022074;13,33094987;5634970825
AG;AGRIGENTO;AGRIGENTO;92100;via Dante 232;Parafarmacia;37,50598655;13,27151505;2536350842
AG;AGRIGENTO;AGRIGENTO;92100;via Dante 232;Sanifarm di Spampinato Anna;37,50598655;13,27151505;2536350842
AG;AGRIGENTO;AGRIGENTO;92100;via Dante 232;sanifarm s.n.c.;37,50598655;13,27151505;2536350842
CT;CATANIA;MOTTA SANT'ANASTASIA;95040;---- V.le della Regione,, 20;' U SPIZIALI DI AIELLO GERMANA  C.SAS;37,51180757;14,96582494;5769940874
CT;CATANIA;MOTTA SANT'ANASTASIA;95040;---- V.le della Regione, 16;PARAFARMACIA DEL VIALE;37,51180757;14,96582494;5769940874
CT;CATANIA;MOTTA SANT'ANASTASIA;95040;V.le della Regione, 16;PARAFARMACIA DEL VIALE;37,51180757;14,96582494;4519760872
CT;CATANIA;ACI SANT'ANTONIO;95025;ViaVittorio Emanuele, 80;Inserra Anna Lisa;37,606134;15,129016;4045850874
CT;CATANIA;ACI SANT'ANTONIO;95025;via madonna delle grazie 18;Inserra Anna Lisa;37,606134;15,129016;4045850874
ME;MESSINA;CAPO D'ORLANDO;98071;via benfizio 110;farma salute srl;38,14029282;14,74074098;2928130836
SR;SIRACUSA;CANICATTINI BAGNI;96010;VIA VITTORIO EMANUELE 148;GPFARMACI;37,0331309;15,0634638;1592010894
AG;AGRIGENTO;SCIACCA;92019;V,le della Vittoria,17;LU.FAR.MAF;37,50689;13,08846541;2557120843
AG;AGRIGENTO;SCIACCA;92019;V,le della Vittoria,17;Parafarmacia del dr. Gioacchino Marsala;37,50689;13,08846541;2557120843
AG;AGRIGENTO;SCIACCA;92019;V,le della Vittoria,17;Parafarmacia erboristeria Dott.ssa Maria Concetta Termine;37,50689;13,08846541;2745450847
CL;CALTANISSETTA;GELA;93012;via venezia 408;parafarmacia venezia;37,0795666;14,2344354;1778170850
CT;CATANIA;CATANIA;95128;Via Musumeci, 130/b/c;Parafarmacia della D.ssa Pagano Antonina;37,5147474;15,0900142;2700880871
RG;RAGUSA;COMISO;97013;via s.biagio 119/a;parafarmacia dott.sa anna cirica;36,95257408;14,60089246;1369810880
PA;PALERMO;MISILMERI;90036;Corso Vittorio Emanuele n.617;BOCCHIARO MARIA GRAZIA;38,0231633;13,4457824;5637410829
AG;AGRIGENTO;PALMA DI MONTECHIARO;92020;Via Pirandello, 52;Parafarmacia, Dott. Falsone Lillo;37,18207632;13,76602252;2498640842
PA;PALERMO;PALERMO;90125;Via Villagrazia, 79;Centro Guadagna;38,09124689;13,35578818;5729720820
PA;PALERMO;PALERMO;90125;Via Villagrazia, 79;Parafarmacia Kalos della Dr.ssa Flesca Maria;38,09124689;13,35578818;5729720820
ME;MESSINA;MESSINA;98121;VIALE DELLA LIBERTA' 41;PARAFARMACIA MADONNA DELLE GRAZIE;38,20288675;15,55972786;2924070838
AG;AGRIGENTO;AGRIGENTO;92100;VIALE CANNATELLO, PAL/ALLETTO;'EUROSPAR' GRUPPO 6 GDO SRL;37,32219769;13,56610079;7789660961
AG;AGRIGENTO;CANICATTI';92014;VIA SEN. SAMMARTINO,39;'EUROSPAR' GRUPPO 6 GDO SRL;37,37175426;13,83777524;7789660961
AG;AGRIGENTO;LICATA;92027;VIA CAMPOBELLO N.159;PUCCI ANTONIO;37,15445221;13,91888255;1022970782
CT;CATANIA;CATANIA;95100;VIA CARUSO/ VIA ACICASTELLO ANGOLO VIA TESEO;CORNER AREAFARMA CITYPER OGNINA;37,44220831;15,03582932;4475960870
CT;CATANIA;CATANIA;95125;VIA ETNEA N. 507;MATTIA LILIANA IRENE;37,44220831;15,03582932;4522650870
AG;AGRIGENTO;SCIACCA;92019;Via Lido, 36/38;Ignazio Picone s.r.l.;37,50500893;13,05882406;2491140840
CT;CATANIA;TREMESTIERI ETNEO;95030;Via Marconi s/n;Bancofarmacia;37,5734718;15,0645075;1177580865
CT;CATANIA;TREMESTIERI ETNEO;95030;Via Marconi s/n;Centro Commerciale Le Ginestre;37,5734718;15,0645075;5031770877
CT;CATANIA;TREMESTIERI ETNEO;95030;Via Marconi s/n;Ginestre;37,5734718;15,0645075;5031770877
ME;MESSINA;ROMETTA;98043;Corso della Libertà 112;Parafarmacia D.ssa Casella;38,23213858;15,40845528;2930000837
TP;TRAPANI;MARSALA;91020;---- C.DA CUORE DI GESU' 656;PARAFARMACIA DOTT.SSA VITA RITA ANGILERI;37,798045;12,4370156;2656170814
TP;TRAPANI;MARSALA;91020;C.DA CUORE DI GESU' 656;PARAFARMACIA DOTT.SSA VITA RITA ANGILERI;37,798045;12,4370156;714890811
CL;CALTANISSETTA;CAMPOFRANCO;93010;Via Piave, 61;dott.ssa Maria Concetta-Parafarmacia;37,5122425;13,712322;1781430853
CL;CALTANISSETTA;CAMPOFRANCO;93010;via VI novembre;dott.ssa Maria Concetta-Parafarmacia;37,5122425;13,712322;1781430853
TP;TRAPANI;PACECO;91027;via montalto n.12;parafarmacia del dott. s,re rosselli;37,9824189;12,5584545;2289120814
ME;MESSINA;MILAZZO;98057;VIA SAN GIOVANNI 103;PARAFARMACIA DEL DOTT. LA MALFA TOMMASO;38,21508145;15,23482011;2818910834
ME;MESSINA;MESSINA;98128;Centro Commerciale Tremestieri SS114 km6,2;Pharmasi Farmashop;38,1940297;15,554114;1466620836
CT;CATANIA;PATERNO';95047;VIA EMANUELE BELLIA, 271/A;LIVI FARM S.N.C.;37,5706513;14,8982886;4527610879
CT;CATANIA;PATERNO';95047;Via EMANUELE BELLIA, 271/A;LIVI FARM S.N.C.;37,5706513;14,8982886;5249550871
CT;CATANIA;PATERNO';95047;Via EMANUELE BELLIA, 271/A;LIVI FARM di Vitellino Maria elisa Carla;37,5706513;14,8982886;5249550871
CT;CATANIA;ACI SANT'ANTONIO;95025;VIA LAVINA 358;FARMATEK SRL;37,60633501;15,11212732;4515460873
CT;CATANIA;ACI SANT'ANTONIO;95025;VIA LAVINA 358;FARMATEK SRL;37,60633501;15,11212732;4515460873
PA;PALERMO;PALERMO;90139;Via Isidoro Carini, 67;PARAFARMACIA Dott.ssa GERVASI;38,12852884;13,35608782;5649340824
CT;CATANIA;CASTEL DI IUDICA;95040;via s giuseppe;parafarmacia punto salute;37,50876938;14,67994134;3431450877
RG;RAGUSA;MODICA;97015;VIA SAN GIULIANO 111 E-F;FARMACONTEA S.R.L.;36,85389858;14,82264719;1357210887
ME;MESSINA;MILAZZO;98057;Centro Commerciale Milazzo - S.S. 113 contrada Faraone;Parafarmacia Natura & Benessere;38,2258615;15,2386004;2118470836
CT;CATANIA;CATANIA;95127;Via Vecchia Ognina 86/88;Parafarmacia Dott.ssa Coco Maria;37,51544191;15,10183535;10551711004
CT;CATANIA;CATANIA;95127;Via Vecchia Ognina 86/88;salute e benessere snc di R.Agrò e R. Melia;37,51544191;15,10183535;10551711004
ME;MESSINA;TAORMINA;98039;via timeo 23;FARMACIA DELL'INDIPENDENZA DOTT. PALERMO ANTONINO & C. SNC;37,85414976;15,28822572;1836200871
ME;MESSINA;TAORMINA;98039;via timeo 23;parafarmacia dr. palermo antonino;37,85414976;15,28822572;1836200871
ME;MESSINA;ROCCALUMERA;98027;Via Umberto 1°, 91;Parafarmacia Dott.sa Lucchesi Elena;37,98931876;15,37895117;2936660832
AG;AGRIGENTO;SCIACCA;92019;Via verona,19;parafarmacia;37,5154465;13,0753278;2690230848
AG;AGRIGENTO;SCIACCA;92019;via verona,19;parafarmacia;37,5154465;13,0753278;1990050849
TP;TRAPANI;CASTELVETRANO;91022;via domenico scinà n. 55;farmahomeos;37,6778705;12,7915383;2292300817
PA;PALERMO;CAMPOFELICE DI ROCCELLA;90010;Piazzetta I Maggio;Parafarmacia di E.Messina e dott A.Polizzotto srl;37,98796703;13,87412355;5661010826
CT;CATANIA;CATANIA;95127;Via G. Leopardi 110;Bruno Umberto Maria;37,44220831;15,03582932;4531370874
PA;PALERMO;BOLOGNETTA;90030;VIA JOHN KENNEDY, 8;FEDERALFARM SRL (PARAFARMACIA);37,9537252;13,4136438;5661420827
PA;PALERMO;CAPACI;90040;VIA VITTORIO EMANUELE 60;FOX PHAMA SRL;38,178973;13,238038;5650160822
PA;PALERMO;CAPACI;90040;Via Kennedy, 98;FOX PHAMA SRL;38,178973;13,238038;5650160822
CT;CATANIA;SAN PIETRO CLARENZA;95030;VIA BELLINI 18;PARAFARMACIA DELLA D.SSA PULVIRENTI FRANCESCA;37,56680963;15,02247251;4532260876
PA;PALERMO;BAGHERIA;90011;Via Tibullo snc;Farmapoint Dott. G. Gargano;38,0789178;13,512365;5649730826
CL;CALTANISSETTA;GELA;93012;via venezia,405/407;croce verde srl;37,0699581;14,2427681;1776210856
AG;AGRIGENTO;AGRIGENTO;92100;VIALE DELLA VITTORIA, 273;GEVICA FARM SRL;37,50689;13,08846541;2495250843
ME;MESSINA;MESSINA;98124;VIALE EUROPA,193;PARAFARMACIA PIEMONTE;38,1781117;15,55291965;2938580830
CT;CATANIA;CATANIA;95125;viale regina margherita 21;Dr.ssa Maria Contarino;37,87719532;14,94897729;3647220874
AG;AGRIGENTO;SANTO STEFANO QUISQUINA;92020;via pizzo 14;pharmasan;37,60153914;13,51318293;2505170841
SR;SIRACUSA;PACHINO;96018;via Regina Elena 25;Parafarmacia s.a.s. di Moncada Eleonora & c.;36,74229619;15,11901071;1597880895
CT;CATANIA;ADRANO;95031;via Madonna delle Grazie n.38;Etna Parafarmacia S.r.l.;37,66350537;14,83461032;4535060877
CT;CATANIA;CATANIA;95100;piazza Giovanni Verga 1;Erboristeria Albachiara della dott.ssa Luppino;37,51385505;15,09219688;4530550872
CT;CATANIA;SANT'AGATA LI BATTIATI;95030;VIA UMBERTO 103/A;DE NATALE GIUSEPPA;37,55386175;15,08132036;4521570871
TP;TRAPANI;TRAPANI;91100;VIA AMM.STAITI N. 101;BI-EMME SRL;38,0176177;12,537202;2151600810
PA;PALERMO;PALERMO;90129;CORSO CALATAFIMI 950;ALIDA SAS;38,10305774;13,33033886;5647230829
ME;MESSINA;LETOJANNI;98037;Corso Vittorio Emanuele, 277;PARAFARMACIA D.ssa FAZZARI Romina;37,89089688;15,30794138;2496280807
CT;CATANIA;MIRABELLA IMBACCARI;95040;via roma 42;parafarmacia croce verde;37,31935111;14,46155846;4542680873
CT;CATANIA;RAGALNA;95030;Via Paternò n. 100;PARAFARMACIA Dott.ssa A. Puleo;37,6303355;14,9393385;4548260878
CT;CATANIA;MOTTA SANT'ANASTASIA;95040;via Ten. Platania, 100;NATURAL PHARMA della dott.ssa Laura Motta;37,47575611;14,97389962;4542830874
AG;AGRIGENTO;SAN BIAGIO PLATANI;92020;via Cesare Battisti 24;Parafarmacia dott.ssa Maria Carmela Savarino;37,5099511;13,5261673;2506360847
AG;AGRIGENTO;SAN GIOVANNI GEMINI;92020;via gramsci,7/9;parafarmacia dott.ssa lena antonella;37,61734017;13,64934337;1785150853
CT;CATANIA;MISTERBIANCO;95045;via Bruno Buozzi 62;Paramed del.dott.VincenzoAntonioAgatinoPappalardo;37,47575611;14,97389962;4547990871
CT;CATANIA;CATANIA;95129;via Umberto n.135;Salud S.r.l.;37,5689376;15,1133266;4540980879
CT;CATANIA;PEDARA;95030;PIAZZA DON DIEGO 41;PARAFARMACIA DELLA DOTT.SSA G. MAIOLINO;37,61890762;15,06083241;4537830871
TP;TRAPANI;TRAPANI;91100;VIA MARTOGNA 9;IL FARMACISTA S.A.S.;38,02217285;12,53709685;2295820811
TP;TRAPANI;TRAPANI;91100;VIA MARTOGNA 9;IL FARMACISTA S.R.L;38,02217285;12,53709685;2295820811
SR;SIRACUSA;MELILLI;96010;Contrada Spalla loc.Giardino;AUCHAN;37,21094156;15,09948545;3349310965
SR;SIRACUSA;MELILLI;96010;#NOME?;PARAFARMACIA CONAD;37,21094156;15,09948545;1967130541
CT;CATANIA;MISTERBIANCO;95100;Via Zinirco;AUCHAN;37,47575611;14,97389962;3349310965
SR;SIRACUSA;PACHINO;96018;via Mazzini n.3;ST.S. s.r.l.;36,70565404;15,07685783;2792510832
CT;CATANIA;ACI CATENA;95022;Via Santi Bonaccorsi, 36/37;parafarmacia di dott.essa Adamo Corradina;37,57396518;15,14020649;4548690876
TP;TRAPANI;PETROSINO;91020;VIALE FRANCESCO DE VITA N.89/91;PHARMASALUTE S.R.L.;37,70990917;12,52512399;2291580815
PA;PALERMO;PARTINICO;90047;VIA KENNEDY 20;PARAFARMACIA CALAGNA FABIO;38,02529476;13,06366578;5676270829
CT;CATANIA;CATANIA;95126;Via Messina, 749;Parafarmacia Dr.ssa Di Gloria S.r.l.;37,5324876;15,11310321;5560040874
CT;CATANIA;CATANIA;95126;Via Messina, 749;Parafarmacia Dr.ssa Di Gloria Teresa Maria;37,5324876;15,11310321;4548540873
CT;CATANIA;ADRANO;95031;VIA CATANIA,207;PIANETA SALUTE;37,65939322;14,83693278;3847680877
CT;CATANIA;CATANIA;95131;PIAZZA PAPA GIOVANNI XXIII N. 8;VINCIGUERRA MAURIZIO;37,44220831;15,03582932;4414980872
CT;CATANIA;SAN GIOVANNI LA PUNTA;95037;Via Catira;Parafarmacia Minerva s.r.l.;37,5657145;15,1017353;4516260876
ME;MESSINA;MESSINA;98100;Via I Settembre 165;DEPA FARMA;38,18795622;15,55832255;2948090838
PA;PALERMO;CARINI;90044;VIA TORRETTA N. 14;FOX PHARMA ONE SRL;38,12956244;13,16340388;5686480822
CT;CATANIA;CATANIA;95127;VIA POLA N.11/A;PAGANOFARMA SRL;37,44220831;15,03582932;4553620875
TP;TRAPANI;SAN VITO LO CAPO;91010;VIA REGINA MARGHERITA N.16/18;PARAFARMACIA GUERCIO MASSIMO;38,12391712;12,75897376;1237740814
AG;AGRIGENTO;LAMPEDUSA E LINOSA;92010;VIA ROMA;PARAFARMACIA DOTT. ALONGE;35,5004728;12,6055049;2510070846
AG;AGRIGENTO;LAMPEDUSA E LINOSA;92010;Via ROMA;PARAFARMACIA DOTT. ALONGE;35,5004728;12,6055049;2870760846
PA;PALERMO;PALERMO;90143;VIA DEL GRANATIERE N°14;PARAFARMACIA DON BOSCO DEL DR.FRANCESCO CINA';38,13022074;13,33094987;5679700822
CT;CATANIA;ACI CASTELLO;95021;via v. brancati 11;Parafarmacia Acicastello;37,5539388;15,1457751;4547960874
CL;CALTANISSETTA;SAN CATALDO;93017;Viale dei Platani 8-10;Parafarmacia Sant'Andrea;37,48942;13,989947;1786130854
CT;CATANIA;BELPASSO;95032;SS 121 C/O CENTRO COMMERCIALE ETNAPOLIS;UM.AN.CI.SA. SRL;37,528824;14,93726404;4536470877
PA;PALERMO;PALERMO;90146;via dei nebrodi 35;FGFarm snc di Fiasconaro S. e Giordano V.;38,1532203;13,32721117;5671880820
RG;RAGUSA;RAGUSA;97100;VIA G. DI VITTORIO 102;GIVIFARM;36,90707175;14,66410005;1378140881
RG;RAGUSA;RAGUSA;97100;Via G. DI VITTORIO, 102;GIVIFARM;36,90707175;14,66410005;1378140881
PA;PALERMO;TERMINI IMERESE;90018;Termini Imerese;Erboristeria -Parafarmacia Artemisia;37,983651;13,695554;5254130825
CT;CATANIA;TREMESTIERI ETNEO;95030;Piazza tivoli 27;Parafarmacia Tivoli;37,54106938;15,0991911;2999080878
CT;CATANIA;TREMESTIERI ETNEO;95030;piazza tivoli 27;farmapiu;37,54106938;15,0991911;4648750877
CT;CATANIA;TREMESTIERI ETNEO;95030;piazza tivoli 27;parafarmacia dott.ssa treccarichi elisa;37,54106938;15,0991911;4648750877
CT;CATANIA;RIPOSTO;95018;c.da rovettazzo;Ludo farma parafarmacia;37,732124;15,2054271;4747780874
CT;CATANIA;RIPOSTO;95018;c.da rovettazzo;farmapiu;37,732124;15,2054271;4747780874
TP;TRAPANI;PETROSINO;91020;Via Ugo La Malfa n.557;Parafarmacia Dott.ssa Caterina Zichittella;37,70990917;12,52512399;2306630811
CT;CATANIA;MASCALI;95016;Piazza Duomo 18/19;Esercizio Farmaceutico Del Dott. Gullotta Davide;37,76653982;15,16686771;4567830874
CT;CATANIA;CATANIA;95128;VIA RENATO IMBRIANI,255;PARAFARMACIA CASA DELLA SALUTE;37,62288929;15,07848;4451000873
SR;SIRACUSA;AVOLA;96012;PIAZZA DENARO N. 1;FARMASANITARIA S.R.L.;36,9272002;15,11904756;1594110890
PA;PALERMO;PALERMO;90100;VIA DELL'OLIMPO 24-26;L'ANGOLO DELLA SALUTE SRL;38,18885577;13,31871063;5660170829
PA;PALERMO;PALERMO;90100;Via DELL'OLIMPO 24-26;L'ANGOLO DELLA SALUTE SRL;38,18885577;13,31871063;6360070822
PA;PALERMO;GANGI;90024;Via Nazionale,208/A;Madonie Veterinaria s.r.l.;37,75283778;14,22510568;4976530826
PA;PALERMO;PALERMO;90100;Ppe Di PALAGONIA 12F/G;STI.MOR S.R.L;38,1156879;13,3612671;5684830820
CT;CATANIA;CATANIA;95129;viale liberta' 174;parafarmacia viale liberta';37,60132149;15,13963062;4566760874
ME;MESSINA;SANTA MARINA SALINA;98050;Via Risorgimento n 12;Parafarmacia Santa Marina,Dott.ssa Cioni Serena;38,55571575;14,85967361;4551190871
CT;CATANIA;CATANIA;95124;via androne,73;profarma srl;37,5105983;15,0804197;4468050879
CT;CATANIA;BIANCAVILLA;95033;via vittorio emanuele,432;profarma srl;37,66702897;14,8369544;4468050879
ME;MESSINA;VENETICO;98040;via nazionale, 117/119;profarma srl;38,2303886;15,4084625;4468050879
ME;MESSINA;SAN PIER NICETO;98045;via torino,15;profarma srl;38,13198823;15,36402128;4468050879
CT;CATANIA;CATANIA;95100;VIA S.GIUSEPPE LA RENA 67;AUCHAN;37,48270702;15,07653736;3349310965
PA;PALERMO;PALERMO;91100;VIA UGO LA MALFA 115;PALERMO;38,16201535;13,31346298;3349310965
CT;CATANIA;ADRANO;95031;"Via Cappuccini ;163";Parafarmacia Dott. Piergiorgio Milazzo;37,6610287;14,83703965;4549680876
AG;AGRIGENTO;AGRIGENTO;92100;VIA REGIONE SICILIANA, 5;TEKNO PHILIAS SNC DI TERRANA CLAUDIO E C.;37,32219769;13,56610079;2436970848
ME;MESSINA;CESARO';98033;VIALE REGINA ELENA N 43;PARAFARMACIA DEL DOTT.LEANZA UGO;37,8692062;14,6638216;2952420830
CT;CATANIA;SANTA VENERINA;95010;via V.Emanuele 314;Parafarmacia Bongiardo;37,6862801;15,1349601;5055090871
AG;AGRIGENTO;LAMPEDUSA E LINOSA;92010;via Roma 42;La Sanitaria Luca Maria;35,5026923;12,6087667;1625720840
RG;RAGUSA;ISPICA;97014;via statale n. 110;parafarmacia Ciranda Giuseppina;36,75928447;14,93280987;1388080887
RG;RAGUSA;RAGUSA;97100;via Virgilio 5;Parafarmacia Dott. Farzad Dabiri;36,9168224;14,726306;977520881
CL;CALTANISSETTA;NISCEMI;93015;Via ponte Olivo, 132;Aliotta Francesca;37,145833;14,392119;1776310854
SR;SIRACUSA;AVOLA;96012;Corso Garibaldi 96;La Salute di...Ferro Parafarmacia del D. Amico;36,90467451;15,13655216;4483830875
PA;PALERMO;PALERMO;90100;VIA VAL DI MAZARA 29-29/A;FARMA PIU' S.N.C.;38,14922216;13,33873197;5715470828
CT;CATANIA;CATANIA;95129;via etnea 322;Germano Andrea parafarmacia etnea;37,61329663;15,02667227;4591240876
CL;CALTANISSETTA;GELA;93012;via venezia 188;parafarmacia Gela;37,071475;14,251775;1773760853
PA;PALERMO;CASTELDACCIA;90014;VIA LAZIO N. 9;FARMAPOINT;38,0555509;13,5300206;5596250828
SR;SIRACUSA;LENTINI;96016;ipersimply via etnea ang. via degli esportatori;farmapiu';37,2998767;14,9995246;1550890899
CT;CATANIA;VIZZINI;95049;VIALE MARGHERITA 7;ALBERGO SEBASTIANA;37,16304327;14,75825636;3293780874
AG;AGRIGENTO;PORTO EMPEDOCLE;92014;VIA ROMA,44;IL LEONE S.R.L.;37,31044113;13,50704362;2524050842
CT;CATANIA;BRONTE;95034;VIA MARTIRI DI VIA FANI N.32;D.F.D. FARMACEUTICA S.R.L.;37,7897624;14,8308093;4445580873
CT;CATANIA;BRONTE;95034;VIA MARTIRI DI VIA FANI N.32;D.F.D. FARMACEUTICA S.R.L.;37,7897624;14,8308093;4595920879
CT;CATANIA;BRONTE;95034;Via MARTIRI DI VIA FANI N.32;D.F.D. FARMACEUTICA S.R.L.;37,7897624;14,8308093;4595920879
CT;CATANIA;CATANIA;95100;via canfora, 80;la baby parafarmacia;37,519725;15,09203696;4530840877
CT;CATANIA;CATANIA;95124;STAZIONE MARITTIMA DEL PORTO DI CATANIA VIA CARDINALE DUSMET 2/P CIRCUM;BANCOFARMACIA PORTODICATANIA;37,5080386;15,0828512;4046710879
CT;CATANIA;ACI CASTELLO;95020;Via Trieste,49/A III°Trav.;Realfarma di Orazio Reale & C.S.A.S;37,55617715;15,13931247;4572480871
ME;MESSINA;GIARDINI-NAXOS;98035;VIA NAXOS, 245;PARAFARMACIA NAXOS;37,8241584;15,26243823;2953650831
SR;SIRACUSA;PALAZZOLO ACREIDE;96010;Viale dante alighieri 11;parafarmacia;37,06680884;14,96023907;4736801210
SR;SIRACUSA;PALAZZOLO ACREIDE;96010;viale dante alighieri 11;parafarmacia;37,06680884;14,96023907;4736801210
AG;AGRIGENTO;CANICATTI';92024;VIA FRANCESCO GUICCIARDINI 21-23;FARMASAN SRL;37,37175426;13,83777524;2501420844
CT;CATANIA;CATANIA;95100;v.le A. De Gasperi. 173/a;Parafarmacia Galermo & C snc;37,44220831;15,03582932;3887590879
PA;PALERMO;PALERMO;90100;Via Sicilia, 25;Parafarmacia Siciclia srl;37,78110094;14,04228729;5721120821
PA;PALERMO;VICARI;90020;PIAZZA SAN MARCO 31;PHARMARES S.N.C.;37,79342105;13,56899256;5735120825
CT;CATANIA;SAN GIOVANNI LA PUNTA;95037;via Catira S. Lucia c/o parco commerciale;Prafarmacia Mozia srl;37,5782757;15,0947724;4610860878
CT;CATANIA;ACI SANT'ANTONIO;95025;Via Marco Polo n. 32;A.C.R. di Russo Rosanna S.A.S.;37,606901;15,1275813;4675500872
CT;CATANIA;ACI SANT'ANTONIO;95025;Via Marco Polo n. 32;PARAFARMACIA dott. AUGUSTO RUSSO;37,606901;15,1275813;4675500872
